curated_smiles,rabbit_intravenous_LD50
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,4.992699029273065
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,3.516077922988349
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.941745851221597
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.324734756625124
CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,6.032672473605955
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,4.0162322184008215
CN(C)CCCN1c2ccccc2CCc2ccccc21,4.247100970868864
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.5520727541965496
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.608303480868587
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,4.002102780409468
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.6018971003532805
CCN(CC)CCOC(=O)c1ccc(N)cc1,3.750365133025975
CCN(CC)CCNC(=O)c1ccc(N)cc1,3.274769127266798
CC(C)NCC(O)c1ccc(O)c(O)c1,3.893455567024529
NCCc1cnc[nH]1,4.604520767482613
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.762491004026009
NCCc1ccc(O)c(O)c1,3.2309623909298217
CN(CCCl)CCCl,4.9891604883063225
S=P(N1CC1)(N1CC1)N1CC1,4.536613529286853
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,3.151198850103522
C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,5.125659591018249
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.671948832401509
CC12CCC(=O)CC1CCC1C2CCC2(C)C(C(=O)COC(=O)CCC(=O)O)CCC12,3.658319739238856
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,4.301929089485421
CN1CCC(n2[nH]c(-c3ccccc3)c(Cc3ccccc3)c2=O)CC1,3.621829222758085
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.917438548469933
C[N+]1(C)CCN(c2ccccc2)CC1,5.281710429548967
NNC(=O)c1ccncc1,3.1640426250766183
C1CCc2nnnn2CC1,3.6633050754470977
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.702975934260431
CC(C)OP(=O)(F)OC(C)C,5.788043393293107
ClC(Cl)(Cl)Cl,1.4206084300062851
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.9670449302949495
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,3.441194106903677
OCC(O)CO,0.2399554668743062
ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1,3.81342176052538
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.428984353862895
CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,4.339019250734822
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.650591667824422
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.740918230960342
CCCC(C)(COC(N)=O)COC(N)=O,2.923986874049361
C[N+]1(CCCl)CC1,5.081358111015086
CC(O)CO,1.06844276473023
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,2.055404857606394
COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,6.554697901828366
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,3.316874251560258
Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.5248078138466066
CCN(CC)CCSC(=O)N(c1ccccc1)c1ccccc1,4.215480258494235
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.4610837681503974
CNCCCN1c2ccccc2CCc2ccccc21,4.346333411195521
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.873847017320827
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.131753052763074
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3.5878829168684474
Cc1ncc(CO)c(CO)c1O,2.561831040068756
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,4.132760312803544
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,2.8101435517655293
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,3.227069496233415
Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,3.021205700976831
Cc1ccccc1OCC(O)CO,3.1636836459348707
OCC(S)CS,3.395256480886021
NCCc1ccc(O)cc1,2.660175875502996
NCCS,2.7112559296416783
C[N+](C)(C)CCCCCC[N+](C)(C)C,3.604612481940701
CC(=O)OCC[N+](C)(C)C,5.687855822391223
NCCCCCC(=O)O,1.8168210772063955
CNN,3.584265245801902
CC(N)=O,0.8962910028161982
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,4.175218746544164
CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,4.1909840506492975
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,5.186405072352297
O=C(O)CF,5.454797758932242
CCO,1.2879280706925966
