curated_smiles,mouse_skin_LD50
CN(CCCl)CCCl,3.730882473063291
O=[N+]([O-])C(Br)(CO)CO,1.624310327588439
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.177674855412532
COP(=S)(OC)Oc1ccc(SC)c(C)c1,2.745597816985894
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.809645784557644
CC(C)OP(=O)(F)OC(C)C,3.407832151581501
CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,3.563143902765089
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.185534699603069
CC1CN1P(=O)(N1CC1C)N1CC1C,2.758885662438572
CNC(=O)CSP(=S)(OC)OC,2.3603339710299225
COP(=O)(OC)OC=C(Cl)Cl,3.0304778875532192
O=C(O)CF,3.489207869452274
CS(C)=O,0.1938811703747029
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,3.178131396903991
c1ccccc1,3.211487640008222
CCOP(=O)(C#N)N(C)C,5.209860704012709
COC(=O)Cl,1.732379972477711
C=C(C)C(N)=O,1.1518089286790354
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,1.6685875632265237
COP(=S)(OC)SCn1nnc2ccccc2c1=O,3.688600512251392
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,3.240153044289737
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.332011449030942
CC(OP(C)(=O)F)C(C)(C)C,4.368394175506349
CCOC(=O)C1C(C=C(C)C)C1(C)C,1.593928170682006
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,1.6170339084792325
O=C(Cl)OCCOCCOC(=O)Cl,1.8321913408830044
ClCC1CO1,2.568319085095112
OCCCl,3.6505988981726567
CC(C)OP(C)(=O)F,5.112995780065127
CCOP(=O)(OCC)OP(=O)(OCC)OCC,4.559590958911828
CC(C)OC(=O)Cl,4.009135613340635
CCCOC(=O)Cl,4.088316859388259
O=CCCCC=O,1.234094980410223
