curated_smiles,frog_subcutaneous_LDLo
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,3.016232218400821
CC(=O)Oc1ccccc1C(=O)O,2.297092079338232
CCN(CC)CCOC(=O)c1ccc(N)cc1,2.595340038791993
NCCc1cnc[nH]1,1.8154527310208517
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,2.461461008362028
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.0048341977004838
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.210082978981244
NC(N)=O,2.000405152474685
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,2.666965148459106
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,2.9499231945293456
Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.20905456136192
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.3845722857973444
CCOCC,0.4897417466076686
Cc1cc(=O)n(-c2ccccc2)n1C,1.9736588465735767
NC(N)=S,0.8815216005856352
CCO,0.8121504365920937
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,6.980222899538546
CC[N+](CC)(CC)CC,1.5722179269642504
O=C(O)c1ccccc1O,2.7423228496143794
c1ccccc1,1.7466008417055714
C#N,2.6536305220454803
CC#N,0.6543035069136502
NC=O,3.176486769434035
CN(C)C,1.4706456578867275
C[N+](C)(C)C,1.5690635884286352
CCC(Br)(CC)C(=O)NC(N)=O,2.152990459035512
CC(C)C#N,1.1582808028698248
CC(O)C#N,2.374620054431372
Cc1c[nH]c2ccccc12,2.117861005163476
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,2.4477141149821
Oc1cccc(O)c1O,2.799722973787357
O=[N+]([O-])c1ccccc1O,2.666237095895804
Cc1ccc(C(C)C)c(O)c1,3.000639389635215
C1CCN2CC3CC(CN4CCCCC34)C2C1,1.8474892868737285
c1ccc2ncccc2c1,2.9350435021441883
Cc1ccccc1O,2.7329563695756245
Nc1ccccc1N,1.4319424377714554
Oc1ccccc1Cl,2.507039116082272
ClC(Cl)(Cl)c1ccccc1,1.9586549836198757
FC(F)(F)c1ccccc1,2.225163660505744
O=[N+]([O-])c1cccc(C(F)(F)F)c1,2.523124245533117
O=[N+]([O-])c1ccc(O)cc1,3.3652071002318227
N#Cc1ccccc1,1.7829108288188578
CC(=O)Nc1ccc(O)cc1,3.480481244061755
CCOC(=O)CC#N,1.4302747488356675
O=C1CCCCCN1,1.606534907442734
Cc1ccc(O)cc1,2.8578951061839244
OCCCl,2.507931394603925
CCC#N,0.8379039445929424
Cc1cccc(O)c1,2.636046356567568
Cc1cccc(N)c1,2.271104601168745
Cc1ccccc1,2.000665093965128
O=C1CCCCC1,1.713114578401215
CCCC#N,1.3481603464111394
N#CCC#N,2.8422346863472394
N#CCCC#N,1.9035782936630543
N=C(N)N,1.2942604202901369
