curated_smiles,mouse_parenteral_LD50
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,3.169290436763693
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.142870842408674
CSc1ncnc2nc[nH]c12,3.1599566962094685
CCN(CC)CCOC(=O)c1ccc(N)cc1,3.0901900604720867
C1CCc2nnnn2CC1,3.283093833735492
C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.6672173063440527
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.661736984912718
O=C(O)c1ccc([N+](=O)[O-])cc1,2.055711092224076
NCCc1ccccc1,3.083441699665037
CCC1(C)CC(=O)NC(=O)C1,3.685733343653564
CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,5.477825772836082
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.498985078624052
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,2.066216561337355
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,3.430189762405101
OOC1(OOC2(O)CCCCC2)CCCCC1,2.090439705966072
C=CCOC(=O)C(=C)C,3.345029612255831
CCCCC(CC)CO,1.8919979042246813
O=C(O)c1cccc([N+](=O)[O-])c1,2.1124387166730028
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,2.44760002667948
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,2.117057028266156
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,2.396713568138007
CNCC(O)c1cccc(O)c1,1.737535625764595
CNC(C)Cc1ccccc1,3.66872653183888
NCCCNCCCCNCCCN,3.814732929792754
Cc1ccccc1-n1c(C)nc2ccccc2c1=O,2.699492580364551
CNC(C)Cc1ccc(O)cc1,3.218104673117946
CCOC(=O)CNC(=O)CF,3.911551758559896
O=C(CF)NC(=O)NCF,3.4039779636693543
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+](O)C1,2.633135031856373
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,3.551367645003692
COC(=O)CF,4.185962175739054
O=C(CF)NCCCl,5.74681161635275
ClCCN(CCCl)c1ccccc1,3.241799413346691
O=c1[nH]cc([N+](=O)[O-])c(=O)[nH]1,1.906100105006236
COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,2.370000837011468
c1ccc(CSc2ncnc3nc[nH]c23)cc1,3.129093455536308
COP(=S)(S)OC,3.3634719818593526
CCC1(CC)NCCS1,2.259088939095506
Brc1ncnc2nc[nH]c12,2.789674559642782
CC1(C)NCCS1,2.3700205977111315
CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.6954331793614346
CCOc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3n2CCN(CC)CC)cc1,3.4978627885418647
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4.686419519921504
CC(=O)NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,3.479934408596352
CC(=O)Oc1ccc(N(CCCl)CCCl)cc1,4.280127079443733
NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,4.70644039375707
CCSC(=O)C(F)(Cl)[N+](=O)[O-],3.0740545316338834
CCOC(=O)C(F)(Cl)[N+](=O)[O-],3.333934419581833
CC(C)=NNC(N)=S,3.823480849361636
Cc1nc(=O)c2ccccc2[nH]1,2.505627439694361
Cc1nc2ccccc2c(=O)n1-c1ccc(Cl)cc1,2.830458745807843
CCOc1ccc(-n2c(C)nc3ccccc3c2=O)cc1,1.9705436746007172
N#Cc1ncnc2nc[nH]c12,3.258652245754686
Clc1cc(N2CC2)nc(N2CC2)n1,4.117582815057576
Cc1nc2ccccc2c(=O)n1CCn1c(C)nc2ccccc2c1=O,2.141625337122731
Ic1ncnc2nc[nH]c12,2.95959076218218
Fc1cnc(N2CC2)nc1N1CC1,3.38648932463157
Nc1cnn(C2OC(CO)C(O)C2O)c(=O)n1,1.4216163757551807
CNC(C)Cc1ccc(OC)cc1,2.776369405427954
CC(C)NCC(O)c1cccc(O)c1,2.4155564699317216
