curated_smiles,mouse_subcutaneous_LDLo
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,2.97547041074758
O=C1NC(=O)C(=O)C(=O)N1,2.550442389133163
CC(=O)Oc1ccccc1C(=O)O,2.4105579225459426
NCCc1cnc[nH]1,1.9319583000922889
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,2.896289164699955
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,3.0174861891877174
CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,2.9354473132576264
O=C(O)c1cccnc1,1.6131756042707175
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,2.7297413055078694
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,2.99880846897768
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,4.313101096942171
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,3.1915854879934624
Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,3.343806268753083
OCCc1ccccc1,1.872110061186292
NCCc1ccc(O)cc1,2.7851146121112955
NCCS,1.9331046792580344
CCOCC,3.9668630013273303
Cc1cccc(Nc2ccccc2C(=O)O)c1C,2.081509327758223
COC(C[Hg+])CNC(N)=O,3.74265313559511
CC(N)=S,1.5748180752315013
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.2232609482248415
CC[N+](CC)(CC)CC,3.035613157177155
C[N+](C)(C)CCO,2.1514678321780534
CC(C)O,1.0006943158663544
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,1.3984313519776796
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.8443678117209987
Nc1ncnc2nc[nH]c12,2.1307517767651425
C#N,3.954660517709461
C[N+](C)(C)C,3.471459813677258
CC(O)C(Cl)(Cl)Cl,2.5143644337355204
CC(C)CC(=O)OC1CC2CCC1(C)C2(C)C,2.076223422744552
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,1.4693730621122594
CC(C)(C#N)N=NC(C)(C)C#N,3.613344899234744
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1.9605487818046967
O=S1(=O)N2CN3CN1CN(C2)S3(=O)=O,6.380692318215038
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,2.5859300215196246
O=C(O)C(O)C(O)C(=O)O,2.176340183207199
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.677245107186976
CN1C(CC(=O)c2ccccc2)CCCC1CC(O)c1ccccc1,3.5282261630138336
CNCC(O)c1ccc(O)cc1,2.047165793190494
Cc1ccccc1O,2.4212025085198703
Nc1ccccc1N,2.6360624204273804
Cc1cc(N=Nc2ccccc2C)ccc1N,2.27357030743162
CC(=O)c1ccccc1,2.5612134498494186
O=[N+]([O-])c1ccccc1,2.633930825861337
NNc1ccccc1,2.803553507721144
CCOC(=O)Nc1ccccc1,2.217989011265339
Cc1ccc(O)cc1,2.8578951061839244
ClCC1CO1,2.568319085095112
ClCCCl,2.4156760900042538
N#CCO,3.580179614479255
OCCO,1.361503987300877
Cc1cccc(O)c1,2.380773851464262
O=C1CCCCC1,1.877924827047207
C=CCNC(N)=S,2.220066973879707
N#CCC#N,3.9168683046441433
CCCCC=O,1.6341446203387928
CCOCCO,1.2558608167464644
CCOCCOC(C)=O,1.4221267395013275
OCCOCCO,1.3268313294397425
CCCCOCCO,2.3735592816348654
CCCCOCCOCCSC#N,3.0006562940403048
N=C(N)N,2.346500038378732
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,2.866874863957356
O=C(O)c1c(O)cnc2ccccc12,2.0727322811883493
O=C1CCCC1,1.5099155903267565
OCCNc1ccccc1,2.0959044450644333
Nc1ccc(O)cc1,2.365838337980996
CC(C)CCO,1.0713207187708793
C[N+]1(C)CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,3.0446988304388056
C=CC(=C)Cl,1.9471248021976173
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,2.269380300702649
O=C1OC2(c3cc(Br)c(O)cc3Oc3c2cc(Br)c(O)c3[Hg]O)c2ccccc21,4.548200179313511
O=C1C=CC(=O)c2ccccc21,3.597025681164455
COC(=O)c1ccccc1C(=O)OC,1.4753045592385168
COc1ccc(C(=O)Cc2c(CCN(C)C)cc3c(c2OC)OCO3)c(C(=O)O)c1OC,3.648816512138176
O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,3.9481732551585136
CCCC(C(=O)OCCN(CC)CC)c1ccccc1,2.267027722215677
CCN(CC)CC(C)(C)COC(=O)C(CO)c1ccccc1,2.3908418826730635
Oc1ccc2ccccc2c1,3.1588839354948406
CCCCCCc1ccc(O)cc1O,2.4133534187722305
CCCCOC(=O)C(C)O,1.1235130977654004
CC(=O)Nc1ccc([Sb](=O)(O)O)cc1,2.645002867603215
Nc1cc([AsH]=[AsH]c2ccc(O)c(N)c2)ccc1O,3.46905580443861
N#CCc1ccccc1,3.5635960217631246
CCOC(=S)S,2.4850609672339306
O=C1CSC(=S)N1,2.823464447652898
O=C(O)C(=O)O,2.9544065452610053
CC(N)Cc1c[nH]c2ccccc12,2.5421953052767168
COC(=O)C1=CCCN(C)C1,3.377969965330614
OC(O)C(Cl)(Cl)Cl,2.3154533953202923
O=C(O)c1c(O)cccc1O,1.7899218095580571
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.172980366940766
FCCOc1ccc2ccccc2c1,3.5010980775503846
CNCC(O)c1ccc(O)c(O)c1,4.183760817188655
NC(Cc1ccc(O)c(F)c1)C(=O)O,4.25785522328334
COC(=O)CCCF,5.079626169907032
CN1CCC23c4c5ccc(O)c4OC2CCCC3C1C5,3.4165124912778397
O=C(O)c1ccccc1F,2.3013803919620264
Nc1cc([As]=[As]c2ccc(O)c(NCOSO)c2)ccc1O,3.6475550887708663
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,3.615139594333925
CCN(CC)CCNc1ccc(C)c2sc3ccccc3c(=O)c12,2.833136908104648
Cc1cc(O)c2ccccc2c1O,3.337955670592855
O=C(O)c1c(O)c(-c2ccccc2)nc2ccccc12,2.821624871690065
OCC1CCCN2CCCCC12,3.529604858456984
CCN(CC)CCCC(C)Nc1cc(OC)cc2cccnc12,4.402035662674379
Nc1ccc(N=Nc2ccccc2)c(N)c1,2.104924375790277
O=c1cc(CO)occ1O,1.9765333803919376
COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,4.226495119586548
N#CC(O)c1ccccc1,3.762613334757367
CC1CCCCN1CCCOC(=O)c1ccccc1,2.6463954181036224
CN1C2CCC1CC(OC(=O)c1ccccc1)C2,3.690766492301575
N=C(N)SCc1ccccc1,3.3176690546777063
N#CS,2.1694760472279966
C[N+](C)(C)Cc1ccco1,3.5447066079741094
C=C(Br)CC1(C(C)C)C(=O)NC(=O)NC1=O,3.4610916541346146
CN(C)CC(O)c1ccc(O)c(O)c1,2.897041773837814
CSC#N,3.0578562087418875
CS(=O)(=O)F,4.447592108821538
CC(=O)O,5.079557471591077
CC(C)CC=O,1.6341446203387928
CN,1.094233476946842
CCOP(=O)(Oc1ccc([N+](=O)[O-])cc1)SCC,4.163258304891918
N#Cc1cn(C2OC(CO)C(O)C2O)c2ncnc(N)c12,4.464291282671778
