curated_smiles,mammal (species unspecified)_subcutaneous_LD50
CCN(CC)CCOC(=O)c1ccc(N)cc1,2.5741507397220547
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.385045439412089
Cc1ncc(COP(=O)(O)O)c(C=O)c1O,2.652585624657495
O=C(O)c1cccnc1,1.724099979078896
CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,3.3098250225005144
CN(C)N=O,3.869718560837284
CCC(CO)NCCNC(CC)CO,2.3609081197253263
O=C1C=CC(=O)C=C1,2.5625179124959567
CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,3.366542247546078
CN(C)CCN(Cc1ccccc1)c1ccccn1,3.621831538149651
CNC(C)Cc1ccccc1,4.027748474480548
CN(C)CCN(Cc1ccc(F)cc1)c1ccccn1,3.5390999307913504
CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl,3.19259442842834
CN(C)CCN(Cc1ccc(Br)cc1)c1ccccn1,3.311898103708656
CN(C(=S)Oc1ccc2ccccc2c1)c1ccc2ccccc2c1,1.7577135348326656
O=C1C(N2CCCCC2)CCN1c1ccccc1,2.77733085159923
CC(C)c1cc(CN(C)C)cc(C(C)C)c1O,4.371752952492852
CN(C)CCc1ccc(O)cc1,4.218104673117947
COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,3.0226109377955326
N=C(N)CCNC(=O)c1ccc(NC(=O)Nc2ccc(C(=O)NCCC(=N)N)cc2)cc1,3.766900410963612
N=C(N)CCNC(=O)c1ccc(NN=Nc2ccc(C(=N)N)cc2)cc1,4.002970320164136
N=C(N)CCNC(=O)c1ccc(/N=N\Nc2ccc(C(=O)NCCC(=N)N)cc2)cc1,4.08276588559328
N=C(N)CCNC(=O)c1cccc(/N=N\Nc2cccc(C(=O)NCCC(=N)N)c2)c1,3.5299239169354992
CCOC(=O)c1oc2ccccc2c(=O)c1C,1.9679876639285985
Cc1ncc(O)c(C=NC2CCSC2=O)c1CO,2.146653442632033
Cc1ncc(CO)c(C=NC2CCSC2=O)c1O,1.9482857888651997
CC(C)(Sc1ccc(Cl)cc1)C(=O)O,2.66410770926076
C[N+](C)(C)CCc1cccc(O)c1,4.3808646044679405
CCCCCCCCOc1ccccc1C(=O)Nc1ccc(C(=O)OCC[N+](C)(CC)CC)cc1,2.684551844514167
