curated_smiles,mammal (species unspecified)_intraperitoneal_LD50
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.279347492410732
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.0119663576898987
O=C(O)c1cccnc1,1.809746167165852
CC12C(=O)OC(=O)C1(C)C1CCC2O1,5.05970731968815
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.887052500422679
CC(=O)O[Hg]c1ccccc1,4.527294707559674
NC(N)=S,1.3374535562353596
O=C(O)CF,5.892328390628092
CCO,1.0299403297315826
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.5568715361351693
C1=CC2C3C=CC(C3)C2C1,2.138979932456201
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,3.537890745331187
Nc1cc(Cl)ccc1C(=O)O,2.234474256869768
c1ccc2cc(Nc3ccc(Nc4ccc5ccccc5c4)cc3)ccc2c1,1.903644564591872
O=c1[nH]c2cc(Cl)ccc2o1,2.488978647150601
O=C(NCSc1nc2ccccc2s1)NCSc1nc2ccccc2s1,1.8436417486176708
c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,3.0938263710888
CCCCN(CCO)CCCC,3.159617316666292
CCCCN(CCCC)CCCC,3.238620528046551
NC1CCCCC1,2.6953809715382264
O=C(O)CCCCCCCCC(=O)O,2.2358506636765547
O=[N+]([O-])c1ccc(Nc2ccc(O)cc2)c([N+](=O)[O-])c1,2.0417399818435884
CN(C)CCOC(c1ccccc1)c1ccccc1,3.504064583389968
CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,3.7439605890735135
CC(N)Cc1ccccc1,3.318095456147784
CCCCNc1c2c(nc3ccccc13)CCCC2,4.104447845492239
CCNc1cccc2nc3c(cc12)CCCC3,4.053698695566548
CNc1cccc2nc3c(cc12)CCCC3,4.025911815768653
CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,3.309373103380042
CNc1c(C)n(C)n(-c2ccccc2)c1=O,2.734943770754138
CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,3.825471852310784
Cc1nc2cc(Cl)ccc2c(=O)o1,2.2913799519068787
Cc1ccccc1-n1c(C)nc2cc(Cl)ccc2c1=O,2.454457631995636
NCCCCCCC(=O)O,4.349059241697678
CCOc1ccc2ccccc2c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.5150730170032745
CN(C(=S)Oc1ccc2ccccc2c1)c1ccc2ccccc2c1,1.5358647852163094
O=C(NN(CCCl)CCCl)c1ccco1,2.9450243365041784
O=C(C=Cc1ccco1)NN(CCCl)CCCl,3.7103226901042414
O=C(c1ccco1)N(CCCl)CCCl,2.760308451440556
O=C(C=Cc1ccco1)N(CCCl)CCCl,3.201042723919736
O=C(c1ccc([N+](=O)[O-])o1)N(CCCl)CCCl,2.90478507627772
O=C(NN(CCCl)CCCl)c1ccc([N+](=O)[O-])o1,3.0735130656253493
O=C1C(N2CCCCC2)CCN1c1ccccc1,3.035808496577747
O=C(C=Cc1ccc([N+](=O)[O-])o1)N(CCCl)CCCl,3.01020522713512
O=C(/C=C/c1ccc([N+](=O)[O-])o1)NN(CCCl)CCCl,2.1963015783929927
Cc1cccc(OCC2COB(c3ccccc3)O2)c1,2.6959370706722243
Cc1ccc(OCC2COB(c3ccccc3)O2)cc1,2.5252408435032496
Clc1cccc(OCC2COB(c3ccccc3)O2)c1,2.719841832815794
Clc1ccc(OCC2COB(c3ccccc3)O2)cc1,2.8267360667304517
CCCCCCCCCCCCOC(=O)C[N+](C)(C)CCCCCC[N+](C)(C)CC(=O)OCCCCCCCCCCCC,3.7802702180816032
CN(C)CC(=O)NC(=O)Nc1ccccc1,3.2549977966160077
COc1ccc(NC(=O)NC(=O)CN(C)C)cc1,2.430752380885965
CCOc1ccc(NC(=O)NC(=O)CN(C)C)cc1,2.582399059926808
