curated_smiles,cat_oral_LD50
CCC1(c2ccccc2)NC(=O)N(C)C1=O,3.060212590627866
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.390009037896556
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.4238992315384404
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.048481861290119
CC(C)OP(=O)(F)OC(C)C,2.0610446653568446
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.495805352001963
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.122897104108831
COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,4.529874318103333
Cc1ncc(CO)c(CO)c1O,2.228349020623637
CNC(=O)CSP(=S)(OC)OC,3.360333971029922
O=C(O)CF,5.348260346277816
CNC(=O)Oc1cccc2ccccc12,3.1275906770079573
Cc1ncc(CO)c(C=O)c1O,2.5241727503175704
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.825320939552804
O=C(O)c1ccccc1O,2.538202866958455
CCC(=O)c1ccc(N)cc1,4.425560419905981
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.628360543862393
CC#N,2.3123149035707624
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.354638492883989
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,1.8972892625927829
NNC(N)=S,3.6586742634204494
CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,2.83527985811075
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,4.7108687581279245
O=C1C(=C(O)C(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,4.355870223063779
O=C1OC(=O)c2ccccc21,2.267514920161858
NC(=S)Nc1cccc2ccccc12,2.6069872345965552
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,3.14440269680892
Oc1cccc2ccccc12,3.0317791371300333
Oc1ccccc1-c1ccccc1,2.532017618891583
c1ccc(-c2ccccc2)cc1,1.7731448216650665
CCCCOC(=O)COc1ccc(Cl)cc1Cl,2.5506155792078813
N#Cc1ccccc1,2.110269763205189
OCCO,1.575383807245958
Cc1cccc(N)c1,3.3310464892307
CC1OC(C)OC(C)OC(C)O1,2.930065134988729
CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,4.321667865250695
OCCOCCO,1.507287393897874
N#CCCCCC#N,3.63606242042738
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,4.476782969157771
CN(C)P(=O)(F)N(C)C,4.886843093939806
