curated_smiles,quail_oral_LD50
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,3.5241779463153207
C1CN1c1nc(N2CC2)nc(N2CC2)n1,3.1862827816036154
CN(C)CN(C)C,2.509683065995572
S=P(N1CC1)(N1CC1)N1CC1,2.9022278727709927
C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,3.335204557937312
NC1(C(=O)O)CCCC1,2.611437591260297
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.546694181900299
O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,2.8898174422733574
COP(=S)(OC)Oc1ccc(SC)c(C)c1,4.403175136163688
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.8579069354452935
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,4.435780921204414
CC(O)CO,1.5632927864103237
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,3.4872798164430683
CNC(=O)CSP(=S)(OC)OC,3.962393962357885
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,4.752375366402083
Nc1nnc[nH]1,2.425015950785148
CC(=O)O[Hg]c1ccccc1,3.6760363588405993
COP(=O)(OC)OC=C(Cl)Cl,4.001725065369024
O=C(O)CF,3.637055885524786
CNC(=O)Oc1cccc2ccccc12,2.3851274055133653
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,3.978205524412004
COS(C)(=O)=O,3.1668601494302475
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,4.16256310787123
CCC(=O)c1ccc(N)cc1,2.674061364293778
CC(O)C(=O)O,1.6024362168714148
CS(=O)(=O)O,1.9827550208699856
C=CC(N)=O,2.582228364933117
O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,1.8189226619791137
O=C1OC(=O)c2cccc3cccc1c23,1.6842693930627235
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,3.3508041019740427
Clc1ncnc2nc[nH]c12,2.689410026453014
Nc1ccccc1[N+](=O)[O-],2.265214171839548
Nc1ccccc1O,2.53824911329831
CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,2.998841253154694
O=C(O)c1ccccn1,2.340560543421319
Nc1cccc([N+](=O)[O-])c1,2.390539119662187
Nc1ccc([N+](=O)[O-])cc1,2.1402754352312474
CN(C)c1ccc(N(C)C)cc1,3.592261376014592
Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,2.0422225786309904
CSc1ccc(N)cc1,2.3939746722051427
Nc1ccc(Cl)cc1,2.73101382675208
Cc1ccc(N)cc1,2.6552681475566144
BrCCBr,3.159895589266277
Cc1nnc(N)s1,2.561618344798098
Cc1cccnc1,1.9690849396153571
CN(C)CCN(C)C,2.565548944198916
CN(C)CCCN(C)C,2.615040631753405
CN(C)CCCCN(C)C,2.6594648661904667
CN(C)CC#CCN(C)C,2.6471538514166637
CNC(=O)Oc1ccccc1OC(C)C,3.8734970577921177
C[Hg]Cl,3.984835312582878
CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,5.409878199349989
CNC(=O)ON=CC(C)(C)SC,4.978335757457425
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,2.9692477726669138
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.6483356117291537
CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,3.6968581688602336
CC(Oc1ccc(Cl)cc1Cl)C(=O)O,2.97324980854217
CNC(=S)C(=S)NC,3.920592276214167
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,3.693116441608965
O=c1ccc(=O)[nH][nH]1,1.0495591200638132
COP(=O)(OC)OC(C)=CC(=O)N(C)C,4.773040045748553
N#C[Na],3.7608480537482047
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,3.316013720509288
S=c1[nH]c2ccccc2s1,1.8909484394555804
c1nnc[nH]1,2.3395835097459106
c1ncncn1,2.5341546811386824
ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,4.99035573099699
CCOP(=S)(OCC)Oc1cnccn1,4.895191677878797
CCOP(=S)(OCC)SCSCC,4.570519590088515
CCOP(=S)(OCC)SCCSCC,4.359223435675611
