curated_smiles,rat_unreported_LD50
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,2.9461328133753497
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.072483958847507
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.5493752382531976
CCN(CC)CCOC(=O)c1ccc(N)cc1,3.197400030119955
CCN(CC)CCNC(=O)c1ccc(N)cc1,3.17489153864006
CC(C)NCC(O)c1ccc(O)c(O)c1,2.395400405469224
CN(CCCl)CCCl,4.962831549583973
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.670308276310441
CC[Hg]Sc1ccccc1C(=O)O,3.980950509763967
O=C(O)c1cccnc1,1.4882368676624178
CCN(CC)N=O,2.620017013108583
ClCCN(Cc1ccccc1)Cc1ccccc1,3.335424466416924
CS(=O)(=O)OCCCCOS(C)(=O)=O,4.391474991356573
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.732961724261582
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.217179340990165
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.1186610873281917
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,2.125551980425476
OCC(S)CS,3.0411480417386203
CC(N)=O,1.4096244301903054
CNC(=O)CSP(=S)(OC)OC,3.0278955111143167
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,4.350376873367003
COP(=O)(OC)OC=C(Cl)Cl,3.588470252249881
O=C(O)CF,3.716237131572411
CN(C)N=O,3.3134160600699967
CNC(=O)Oc1cccc2ccccc12,2.60471193172762
CNC(=O)Oc1cccc(C(C)C)c1,3.6733266564998304
CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C,3.921437380188555
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,3.3253983657305906
CS(C)=O,1.778907822403885
CN(C)C=O,1.3867664157173134
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,3.1943113693217544
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.5433378160570177
CC(C)=CC1C(C(=O)OCc2cc3c(cc2Cl)OCO3)C1(C)C,2.549667819201968
CCN(CC)CC(=O)Nc1c(C)cccc1C,3.7743557635246714
ClCCl,1.2007226824666364
NC=O,1.176486769434035
CN(C)C,2.0433218715294807
CC(C)(O)C#N,3.806108538095593
CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,1.0360716991031995
C=CC(N)=O,2.533677974188272
NC(=O)CCl,3.125773949850885
C=CC(=O)O,1.7608023249384384
CNC(C)=O,1.3587376921170695
C=C(C)C(=O)O,1.730832725161933
O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,2.1699266326049336
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,1.8878936692686743
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,3.790050004175549
O=C1C(=C(O)C(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,4.490568796961236
O=c1c(=O)c2cccc3cccc1c32,2.3983645506484046
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,3.475388300828639
CCOC(=O)c1ccccc1C(=O)OCC,1.3690986231046922
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,1.132834244083936
CCCCOC(=O)c1ccccc1C(=O)OCCCC,1.4709984817124335
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,1.0058250515410327
CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,1.3665453933680798
O=C1OC(=O)C2CC=CCC12,1.70514784758143
O=NN(c1ccccc1)c1ccccc1,1.820037171803748
COP(=S)(OC)SCn1nnc2ccccc2c1=O,4.325422609838566
Oc1c(Cl)c(Cl)c(O)c(Cl)c1Cl,1.873255258982384
Cc1cc(C)c(N)c(C)c1,2.4268582959508405
Oc1ccccc1-c1ccccc1,1.799623859068615
O=C1Nc2ccccc2C1=O,2.30737208363155
O=C1CCN(c2ccccc2)N1,2.720070949725649
c1ccc(-c2ccccc2)cc1,1.5349056558605407
