curated_smiles,mouse_intramuscular_LD50
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.8556191568299747
O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,1.7745211366039058
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,3.6537287386261497
NCCc1c[nH]c2ccc(O)cc12,2.3709914690060945
CCN(CC)CCOC(=O)c1ccc(N)cc1,2.6745212848396176
CCN(CC)CCNC(=O)c1ccc(N)cc1,2.4371806890312864
C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.134043163515019
CN(CCCl)CCCl,4.753947777131985
CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C,1.4724281266456356
S=P(N1CC1)(N1CC1)N1CC1,4.216278378427484
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,2.7762579484636767
Cc1ncc(COP(=O)(O)O)c(C=O)c1O,2.332250473798127
C[N+]1(C)CCN(c2ccccc2)CC1,3.834552398206748
NNC(=O)c1ccncc1,3.00044991151991
CCN(CC)N=O,2.45773309950024
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.60695580412463
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.210082978981244
ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1,3.456874437011568
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.122897104108831
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.921374295418474
COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,6.052753063383671
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.878452328660761
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.006814316154775
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,1.9151113661083
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.3456288979500317
OCC(S)CS,3.0411480417386203
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,3.210934298810699
CCCCN1CC2Cc3cc(OC)c(OC)cc3C2C1,3.326007967759605
Cc1cccc(Nc2ccccc2C(=O)O)c1C,2.780479332094242
CCC1(C)CC(=O)NC(=O)C1,3.6723693820955834
CCC(=O)c1ccc2c(c1)Sc1ccccc1N2C(C)CN(C)C,3.2098876177067472
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.726331300151626
CN(C)C=O,1.2728230634104765
O=C(O)c1ccccc1O,2.259449266005626
NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,1.8855421383769333
CCN(CC)CC(=O)Nc1c(C)cccc1C,3.1218787189884383
O=S(=O)(O)CC(S)CS,2.031800739194205
C#N,4.000418008270136
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.261216807721754
CCOP(=O)(C#N)N(C)C,5.566408027526521
C=CC(C)(O)CCC=C(C)C,1.2851436322013488
COc1c2occc2c(OC)c2c(=O)cc(C)oc12,3.4963043019322657
COc1c2ccoc2cc2oc(C)cc(=O)c12,3.2722360517060003
CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,2.295360782377067
O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,2.3397384467951023
OCC(O)C(O)C(O)CO,1.1736603672473318
COc1ccccc1OCC(O)CO,1.9527508161499296
O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,5.853307231627936
C[n+]1ccccc1C=NO,2.9448894775473127
CC1OC1C1CCC2(C)OC2C1,2.447767683577912
CC(OP(C)(=O)F)C(C)(C)C,6.311098771551918
CC1=CCC(C(C)(C)O)CC1,1.8872036235293108
Nc1ccc([N+](=O)[O-])cc1,2.237185448239304
CCN(CC)CCO,2.449804635368986
CC(C)=CCCC(C)CCO,1.5918128416865491
CC(C)=CCCC(C)=CCO,1.6486429961694795
NCCS(=O)(=O)O,1.2523293437244956
CC(C)OP(C)(=O)F,5.931575687504378
OC1CCCCC1,2.0006986518519163
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,2.1501683590638483
ON=Cc1cc[n+](COC[n+]2ccc(C=NO)cc2)cc1,3.130978892767449
CNC=O,1.339988502048911
CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,3.214913198481549
CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)CO)OC(CO)C(O)C1O,3.222044262202391
CC1(C)C2CC=C(CCO)C1C2,2.5218282202662263
CCC(=O)Nc1c(I)c(NC(=O)CC)c(I)c(C(=O)O)c1I,1.4802164390608588
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,1.6609576713379204
C=CCN1Cc2ccccc2-c2ccccc2C1,2.5935260444250177
CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,3.6411115768367166
Clc1ccc(CC(=CCN2CCCC2)c2ccccc2)cc1,2.571228646147696
C=C(C)CCCC(C)CCO,1.5918128416865491
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,1.867479375981565
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,2.356903013989657
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,4.004427426151893
O=NN(CCCl)C(=O)NCCCl,3.394508494314992
CN(C)C(=O)Oc1ccc[n+](C)c1,4.987049825433696
C1CCC2OC2C1,1.991868179354044
CC(C)NNC(=O)c1ccncc1,2.464518626895098
Nc1cc([As]=O)ccc1O,3.8538523273526377
CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.588385346503746
ClCCNCCCl,2.7052189979287813
CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,3.4642750633657857
COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,4.592800026199899
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+](O)C1,2.9147519864762184
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,3.64154427535278
CC(C)=CCC1C(=O)C(=C(O)CC(C)C)C(=O)C(CC=C(C)C)(CC=C(C)C)C1=O,2.8394633820934354
CC12CCC(CC1)C(C)(C)O2,2.188233619193292
CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,2.5939281706820063
CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,3.630361233433588
CCC(C)C(=O)OC1C(OC(C)=O)c2c(ccc3ccc(=O)oc23)OC1(C)C,2.6691737851836304
CC(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1OC(=O)C=C(C)C,2.9167912646693317
CCN(CC)CCNc1ccc(C)c2sc3ccccc3c(=O)c12,2.9300469211127043
CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,2.0974273837387525
COc1cc2c(c(OC)c1OC)-c1cccc(=O)cc1C(NC(C)=O)CC2,3.775125187627389
O=C1CCCC2C3CCCN4CCCC(CN12)C34,3.5249879819481693
CCc1ccc(C)c2ccc(C)c-2c1,1.7883616622550018
