curated_smiles,mouse_intraperitoneal_LDLo
C=O,3.27337749760719
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,2.70297478677366
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,2.508921753657774
CC(O)Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.4849328380295432
O=C1NC(=O)C(=O)C(=O)N1,2.675381125741463
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,2.529486819245837
CC12CCC(=O)CC1CCC1C2CCC2(C)C(C(=O)COC(=O)CCC(=O)O)CCC12,2.8298633705438165
CC(C)(C(=O)c1cccnc1)c1cccnc1,2.8775229960653363
C=CCN=C=S,4.394267767210304
NC(N)=O,0.9584863685460032
CC1CN1P(=O)(N1CC1C)N1CC1C,4.838066908486196
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,3.396930005250204
NCCc1ccc(O)cc1,2.2342071432307145
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,4.165852446774459
COC(C[Hg+])CNC(N)=O,3.724924368634678
Cc1c[nH]c(=O)[nH]c1=O,2.100766744224183
O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1,4.924453313660553
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,2.658068662483436
Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,3.3968934639485187
CCC(C)(C)O,1.6441923209713594
CCC1(C(C)C)C(=O)NC(=O)NC1=O,2.8992118450512465
O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,4.635289737542099
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,2.7206408963539297
CCO[Si](OCC)(OCC)OCC,2.399673721481037
CCCCOP(=O)(CCCC)OCCCC,3.301583802169432
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,2.2326134878594983
CC(O)CN,2.47776353538234
CC1=C(O)C(=O)CC1,2.35074407147993
Cn1ncnc2c(=O)n(C)c(=O)nc1-2,4.808809431998403
O=C1OC(=O)C2CC=CCC12,2.483299097965074
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,4.309411416815817
O=CC(Cl)=C(Cl)C(=O)O,4.227791611979896
OCC(O)C(O)C(O)CO,0.8378682653241386
Oc1ccccc1[Hg]Cl,3.836149983159596
Cc1ccc2ccccc2c1,2.152902650493289
Nc1ccc(-c2ccccc2)cc1,2.830529646813057
O=C(O)c1ccc2ccccc2c1,2.537020266064715
Cc1ccccc1O,2.7329563695756245
CCC(N)CO,2.552122876870042
CNC(=O)NC,1.2493684413062722
O=C1OCCO1,2.245818540279429
Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],2.6606829031963954
O=S(=O)(Cl)c1ccc(Cl)cc1,2.926484443879745
O=C(S)c1ccccc1,2.7425397508812344
CC(=O)c1cccc(N)c1,1.819537509498797
