curated_smiles,guinea pig_subcutaneous_LDLo
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.3932908447175687
CCN(CC)CCOC(=O)c1ccc(N)cc1,2.7714312978476743
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.8671302926162174
NCCc1cnc[nH]1,4.142811665407182
C[N+](C)(C)CCOC(N)=O,6.2928406458294495
NCCSSCCN,2.705544428399001
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.28669526990791
CC(O)CO,0.6910244232027939
CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,2.9864582127373063
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,4.107799937806012
Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.987205811745563
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.9662337464703032
NCCc1ccc(O)cc1,2.118596631556415
Cc1cc(=O)n(-c2ccccc2)n1C,2.070568859581633
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,3.486672051850125
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,2.976820553607371
NC(N)=S,1.2794616092576727
CC=C(C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O,5.772132395237637
NCCc1ccccc1,2.577656477866398
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.124189571505715
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.0191409655689165
CC(C)=O,1.0650566033560185
Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,2.016145748340489
O=C(O)c1ccccc1O,2.2371728712944736
Cc1ccc(S(N)(=O)=O)cc1,1.932527033513652
Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,3.463840253579132
C#N,5.431781772429123
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,3.089161820400653
CC(C)(C#N)N=NC(C)(C)C#N,3.516434886226687
COC(C)=O,1.3925738564081411
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,2.952864093302005
O=[N+]([O-])c1ccccc1O,2.1891158411761418
Cc1ccc(C(C)C)c(O)c1,2.1353379635326712
COc1ccccc1O,2.139665733170943
OC(c1ccccc1)c1ccccc1,1.9643492148236832
Cc1ccccc1O,3.4899183208893296
Oc1ccccc1Br,2.061977436839996
Oc1ccccc1Cl,2.2060091204182903
O=Cc1ccco1,2.9826555944771744
O=[N+]([O-])c1ccccc1,2.1872068719984363
O=[N+]([O-])c1ccc(O)cc1,2.8423283549514853
C1N2CN3CN1CN(C2)C3,2.669595781024313
N=C(Nc1ccccc1)Nc1ccccc1,3.0238037253549006
O=C1CCCCCN1,2.075969333496105
Cc1ccc(O)cc1,2.7329563695756245
C=CC=O,5.498264077843073
OCCO,1.0938977471238456
CC(C)NC(C)C,1.8590224356544087
Cc1cccc(O)c1,2.556865110519943
Oc1cccc(O)c1,2.439774659612873
CCCOC(C)=O,1.5320448341087392
CCCC#N,2.839522040245412
COCCOC(C)=O,1.3733975523880813
N=C(N)N,2.771381675009799
CCOC(=O)c1ccccc1O,2.044477041859281
COC(=O)c1ccccc1O,2.006177843245412
Oc1ccccc1O,2.7408046552768544
Nc1ccc(O)cc1,1.8618449368610328
Oc1ccc(O)cc1,2.564713396221173
CC(=O)OCCC(C)C,1.4155976149949152
Nc1ccc([As](=O)(O)O)cc1,3.491473755370671
Oc1c(I)cc(Cl)c2cccnc12,3.183984062077016
O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,4.124264514214195
Oc1ccc2ccccc2c1,1.7323726741302656
Nc1cc([AsH]=[AsH]c2ccc(O)c(N)c2)ccc1O,3.690904554054967
CC(=O)OCc1ccccc1,1.699482169706489
CCC1(CC)C(=O)NC(=O)NC1=O,2.964247841370129
N#C[K],3.910597727504635
CC(N)C(O)c1ccccc1,2.4014263908742217
CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1Cl,3.76598875680402
CC(N)Cc1ccccc1,3.553329918479446
CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,6.935967711162915
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.5989490992130477
CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,3.8367300030762927
CNCC(O)c1ccc(O)c(O)c1,5.236139570824313
NC(Cc1ccc(O)c(F)c1)C(=O)O,4.396157921449621
COc1ccc2c(c1)[nH]c1c(C)nccc12,3.3268517911886475
Nc1cc([As]=[As]c2ccc(O)c(NCOSO)c2)ccc1O,3.772493825379167
O=c1cccc2n1CC1CNCC2C1,3.677255542991441
CC(C)c1cccc(=O)c(O)c1,2.5164137279648733
Cc1cc(O)cc(O)c1,2.3157569922266243
CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl,3.348164020339419
O=C(O)c1ccccc1,2.086797464374107
CC1CCCCN1CCCOC(=O)c1ccccc1,2.9891126357169773
O=C(Nc1ccccc1)OCC(CN1CCCCC1)OC(=O)Nc1ccccc1,2.9972498266871974
CN1C2CCC1CC(OC(=O)c1ccccc1)C2,3.053276762789065
N#CS,2.4211518644068315
C=C(Br)CC1(C(C)C)C(=O)NC(=O)NC1=O,3.558001667142671
CC(C)CNCCOC(=O)c1ccc(N)cc1,3.0410528292600314
O=[N+]([O-])c1cccc(O)c1,2.444388346279448
COc1cc2c3c(c1O)-c1c(cccc1OC)CC3N(C)CC2,3.493292109044879
CN,2.1911434899548983
O=[N+]([O-])c1cc([N+](=O)[O-])c2ccccc2c1O,3.4664357050778567
C=CCc1cc(OC)c2c(c1)OCO2,1.9827550208699856
CCCCCC#N,2.496130282165504
CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,6.766902639419495
CCCC1CCCCN1,3.405622936289672
N#CCCc1ccccc1,2.9417697461077945
COc1cc(CCN)cc(OC)c1OC,2.6258493268474976
CNC(=O)C(C)(C)SCCSP(=S)(OC)OC,3.5016589142351098
N#CC#Cc1ccccc1,3.062910016708964
CCN(CC)CC1COc2ccccc2O1,2.7429214225992955
COP(=S)(OC)SCC1(C)OCCS1,3.438335040382066
N#CC#CC#N,2.5911102897763665
CNC(=O)Oc1cccc2sccc12,3.91856291251005
CNC(=O)Oc1cccc2c1CCCC2,3.613327972707757
CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,2.96545688579768
CNC(=O)Oc1cccc2c1OC(C)C2,3.9185105226071553
CCCC1=NCCCC1,2.9215650987885304
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,3.515628821925708
CNC(=O)Oc1ccc(N(C)C)c(C)c1,3.619637945061585
NCCCc1ccccc1,2.8299788171266584
CN(C)c1ccc(N)cc1,3.134170730224775
CCN(CC)c1ccc(N)cc1,2.9144806707485102
C=C(C)C1C2CC3(C)C4(CO4)C4OC4C3(O)C1C(=O)O2,5.057307648080835
CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,3.818727220876172
