curated_smiles,rabbit_oral_LD50
CCC1(c2ccccc2)NC(=O)N(C)C1=O,2.7054977360011088
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,2.69432084038155
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.151665204895132
O=C(O)c1c(Cl)ccc(Cl)c1Cl,2.5749143997455883
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.596436578532261
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,2.691372693148691
CN(C)CCCN1c2ccccc2CCc2ccccc21,2.862340511751136
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,2.1482308160877053
CC(=O)Oc1ccccc1C(=O)O,2.251334588777557
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,2.1062409453090294
O=c1[nH]cc(F)c(=O)[nH]1,3.837742046680983
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.7879490465685937
CC(C)NCC(O)c1ccc(O)c(O)c1,1.83768095570633
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,2.6833097579783844
CN(CCCl)CCCl,4.229017127511536
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,2.61970154319974
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.2065509831487606
CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,1.7873839525994093
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.4232980711150187
CN1CCC(n2[nH]c(-c3ccccc3)c(Cc3ccccc3)c2=O)CC1,2.310458393755885
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.616408552805952
NNC(=O)c1ccncc1,2.7392304700042795
O=C(O)c1cccnc1,1.4322854623332677
COP(=S)(OC)Oc1ccc(SC)c(C)c1,3.268476562266232
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],2.1501725712724307
CC(C)OP(=O)(F)OC(C)C,4.663104656684807
NCCCNCCCN,2.795790667574364
ClC(Cl)(Cl)Cl,1.426598793695473
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.464288300555898
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,2.704254945126408
NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,2.8880276747563225
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,3.656542575179557
OCC(O)CO,0.532867572316108
NC(N)=O,0.7235605413291876
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.144303659065778
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1.9247495170881013
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,4.39067021262618
CC(O)CO,0.6141843929700715
Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.9379877890753816
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.5860225047586978
CNCCCN1c2ccccc2CCc2ccccc21,2.425514657243146
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,2.0745892991745665
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,2.829398337923067
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,2.208175215788715
CNC(=O)CSP(=S)(OC)OC,2.88321271631026
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,2.6905443539340563
CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,2.492014046313279
NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1,2.4629457619011488
CCOc1ccc(NC(C)=O)cc1,1.855444041061111
COP(=O)(OC)OC=C(Cl)Cl,4.344345107922373
O=C(O)CF,5.360849473585837
CNC(=O)Oc1cccc2ccccc12,2.452423587344564
Nc1ccc(S(N)(=O)=O)cc1,2.1221124925355275
NC(=O)NC(=O)Cc1ccccc1,1.8529457564101663
CCO,0.8640682358575873
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2.594970648194358
CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,3.708274694214357
NC(=O)c1ccccc1O,1.6320078331701218
Nc1ccc(C(=O)O)c(O)c1,1.6227872704249424
O=c1cc[nH]c(=O)[nH]1,1.0495591200638132
O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,3.651664312530941
CO,0.3534312717012851
CC(C)O,0.9719875367311808
CC(C)=O,1.0364853506634808
CN(C)C=O,1.1649176661009568
Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,2.160828543144546
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,2.9655351783746573
O=C(O)c1ccccc1O,1.9680667214438623
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,4.000007471209693
CC(C)=CC1C(C(=O)OCc2ccc(C)cc2C)C1(C)C,1.2809044998547192
CC(C)=CC1C(C(=O)OCc2cc3c(cc2Cl)OCO3)C1(C)C,1.5273914244908158
CCCO,1.3278271140945406
CCCCO,1.327874841983649
c1ccccc1,2.401367183549537
CC(Cl)(Cl)Cl,1.3723556759913274
OC(c1ccccc1)(c1ccccc1)C1CCCCN1,3.1718434195795786
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,1.760489080190491
Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,3.153963413364296
BrCBr,2.2401372219201634
CC#N,2.914374894898725
S=C=S,1.475101210577542
CC(C)N,1.2665256752308032
IC(I)I,2.9419870960845387
CC(C)(C)O,1.3186250003154285
CCC(C)(C)O,1.638154365974042
CC(C)(O)C#N,3.799626410567672
CC(=O)C(C)(C)C,2.046456142412592
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.1116004441976948
CCC1(c2ccccc2)CCC(=O)NC1=O,2.558844516218512
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,1.8309375037334807
CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC,3.800422180188181
CC1(C)NC(=O)NC1=O,1.0052205099351197
CCOP(=O)(C#N)N(C)C,3.997673099608751
CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,0.975373858749588
CCCCSP(=O)(SCCCC)SCCCC,3.113835662638498
CC1=CC(=O)CC(C)(C)C1,1.9882511225892847
CC(C)C#N,3.693394004567174
CCC(C)O,1.1803777725593363
C=CC(N)=O,2.675650050095353
NC(=O)CCl,2.8845121591903937
NNC(N)=S,3.845760906777594
COC(C)=O,1.3009068988124564
BrC(Br)C(Br)Br,2.936581595690796
C=C(C)C(=O)O,1.855771461770233
CCC(C)(C)c1cc(O)c(C(C)(C)CC)cc1O,2.0975731085003653
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,2.010183927428574
O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,1.7288640624724163
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,1.998930722156269
C=C(C)C(=O)OC,1.060988574904004
O=S(=O)(O)c1cccc2c(S(=O)(=O)O)cccc12,0.9827264004536684
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,2.5859300215196246
O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2c1cccc2S(=O)(=O)O,1.9430043095752365
O=C1C(=C(O)C(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,3.987893437769186
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.5672264015526114
CC(C)(C)C(O)=C1C(=O)c2ccccc2C1=O,3.186132899547789
CCOC(=O)c1ccccc1C(=O)OCC,2.34682222839354
O=[N+]([O-])c1ccccc1-c1ccccc1,2.1006518684286486
CN1CCC(N(Cc2cccs2)c2ccccc2)CC1,2.82357127415081
NNc1nncc2ccccc12,2.727487034607373
O=CC(Cl)=C(Cl)C(=O)O,3.023671629323972
Oc1cccc(O)c1O,1.8966329867954128
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.9095592904814978
OCC(O)C(O)C(O)CO,0.7843205303372117
Cc1ccccc1[N+](=O)[O-],1.8941197628037332
O=[N+]([O-])c1ccccc1Cl,2.7502769151539925
COc1ccccc1N,2.1509327959424462
Oc1cccc2ccccc12,1.2046414260555165
Nc1ccccc1-c1ccccc1,2.219869483723177
c1ccc(-c2ccccc2)cc1,1.8079069279242783
Nc1ccc(-c2ccccc2)cc1,2.38962056474784
c1ccc2c(c1)Nc1ccccc1S2,1.6973993645427072
O=[N+]([O-])c1ccc(-c2ccccc2)cc1,2.0048427292214783
COc1ccccc1OCC(O)CO,1.8900922750307905
COC(=O)c1ccccc1,1.7975579118274536
CCOC(=O)c1ccccc1,1.7566476759363938
CCOc1ccccc1N,2.3591458798390144
CCCC(O)C(CC)CO,1.7500631320237474
CC=C(CC)C(=O)NC(N)=O,2.114458075874958
CCN(CC)C(=S)Sc1nc2ccccc2s1,2.019591653072557
Clc1ccccc1Cl,2.4683591477883
Cc1ccccc1N,2.1057372075048364
Cc1ccc(O)cc1C,2.183863922242046
Nc1ccc(Cl)c(Cl)c1,2.380262174497434
Nc1cc(Cl)ccc1Cl,1.6355346796007402
Cc1ccc(C)c(O)c1,2.114751070854925
Clc1cc(Cl)c(Cl)cc1Cl,2.158149313787581
ClCC(Br)CBr,3.1182537004485864
ClCC(Cl)CCl,2.588808160414359
Nc1nccs1,2.43243188345556
Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C,2.0493961147459823
O=S(=O)(Oc1ccc(Cl)cc1Cl)c1ccccc1,2.636582453646431
CCN(CC)C(=S)SSC(=S)N(CC)CC,2.2168283522359844
C=C(C)C(=O)OCCCC,0.7549534794581929
CCC(CC)CO,1.9301719012458465
O=S(=O)(Cl)c1ccccc1,2.329019379214204
NS(=O)(=O)c1ccccc1,2.4182847148781352
Cc1ccc(C(C)(C)C)cc1,1.9334480344098055
CN(C)C1CCCCC1,2.312201251127437
Cc1cccc([N+](=O)[O-])c1,1.8941197628037332
COc1ccc([N+](=O)[O-])cc1N,2.2257020371802305
O=C(Cl)c1cccc(C(=O)Cl)c1,2.237509513430937
COC(=O)c1ccc(O)cc1,1.404117851917449
Cc1ccc([N+](=O)[O-])cc1,1.8941197628037332
O=C(Cl)c1ccc(C(=O)Cl)cc1,2.3298237747498445
N#Cc1ccccc1,2.110269763205189
OCc1ccccc1,2.016953025940825
NNc1ccccc1,3.1309124421074737
ONc1ccccc1,2.941026182908657
Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,2.838102595975066
