curated_smiles,mouse_oral_LDLo
NC(Cc1c[nH]c2ccccc12)C(=O)O,1.1340261517889243
COP(=S)(OC)Oc1cc(C)c(SC)c(C)c1,2.436537146473479
c1ccc2c(c1)Oc1ccccc1[As]2O[As]1c2ccccc2Oc2ccccc21,4.077655954910601
CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,3.212806632147287
COc1ccc(OC)c(C(O)C(C)N)c1,3.1944855626885102
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,1.3984313519776796
CCOP(=O)(OC=C(Cl)Cl)OCC,3.773002378182376
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,2.7270611532813214
CNC,2.955062069675032
C[N+](C)(C)C,2.77318357108456
CCC(C)(C)O,1.547282307963303
CC(CC(C#N)(c1ccccc1)C(C)C)N(C)C,2.810577414873391
CCC(C)(O)CC,2.134291883901771
O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],1.654774540182823
NNC(N)=S,2.986576405484733
CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2.5517020433401725
O=S1(=O)N2CN3CN1CN(C2)S3(=O)=O,6.079662322551057
CC(C)(OO)c1ccccc1,1.4834246735171626
O=C(O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2.6707683005775347
Cc1c[nH]c2ccccc12,2.445763147227758
CCc1cc2c(cc1C(C)=O)C(C)(C)CCC2(C)C,2.740203054837023
O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,2.3255808759128325
Nc1ccccc1-c1ccccc1,1.228469655485095
Cc1cccc(N(CCO)CCO)c1,2.591647728987403
S=c1sc2nc3ccccc3nc2s1,2.344164478868562
CCOc1ccccc1N,2.3591458798390144
Cc1cc(N=Nc2ccccc2C)ccc1N,2.4496615664873014
CC(C)COC(=O)C(C)C,1.0517974532016592
NC(=O)c1cnccn1,1.6131897147052598
COc1ccc([N+](=O)[O-])cc1,2.7079588801617547
Clc1ccc(Cc2ccc(Cl)cc2)cc1,2.198893410779997
CCNC(=S)NCC,3.328944877161992
CC(=O)OCC=C(C)CCC=C(C)C,1.3898081880260813
CCCC(=O)OC(=O)CCC,2.199198243410713
BrCCBr,2.8758989329010767
NC(=O)OCC(Cl)(Cl)Cl,2.409209259564241
CCCC(=O)O,2.2460354804456464
CC(C)CC(C)O,2.009353147293471
CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,1.3760255275732878
SCCCS,2.004967893442739
COCCN,1.6715835613984524
OCCOCCOCCO,0.909423020284114
CC(N)(CO)CO,2.875627544936126
CCCC[P+](CCCC)(CCCC)Cc1ccc(Cl)cc1Cl,2.8870244149287587
c1ccc2[nH]ccc2c1,2.039362222397821
CCNc1nc(Cl)nc(NCC)n1,1.6056519121093122
CCC=O,1.8609366207000928
O=C1CCCCCC=CCCCCCCCCO1,2.197965926583346
O=C(CS)OCCOC(=O)CS,3.6238197026709615
CCOP(=O)(OCC)SCCSCC,4.648772067080025
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,2.0652603180467244
O=C1C=CC(=O)c2ccccc21,3.295995685500474
C=CCOC(=O)c1ccccc1C(=O)OCC=C,2.5582502903301854
Cc1ccccc1N=Nc1c(N)ccc2ccccc12,2.4171859447216426
O=C(O)c1cc(-c2ccccc2)nc2ccccc12,2.220577012363992
CCN(CC)CC(C)(C)COC(=O)C(CO)c1ccccc1,2.7318770400086287
Oc1ccc2ccccc2c1,3.1588839354948406
Nc1cc([AsH]=[AsH]c2ccc(O)c(N)c2)ccc1O,2.2649358217826854
CN(C)c1ccc(N=NS(=O)(=O)O)cc1,3.214202146721367
