curated_smiles,rat_skin_LD50
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,2.2638229397877745
O=C(O)c1c(Cl)ccc(Cl)c1Cl,2.353065650129232
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,1.629119690589367
CN(CCCl)CCCl,4.114099224914622
C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,2.9859975975892423
O=[N+]([O-])C(Br)(CO)CO,2.0968839545573807
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.1096409701407044
COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,2.9102881500273474
COP(=S)(OC)Oc1ccc(SC)c(C)c1,2.9260538814440253
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.890805596587356
ClC(Cl)(Cl)Cl,1.482013317785349
CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,3.2982102524493846
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.631779387849662
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,2.6251341109279323
CN(C)N,1.8923837468302571
CC1CN1P(=O)(N1CC1C)N1CC1C,3.070465840435861
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,2.67954590047446
CNN,2.4009954021190976
CNC(=O)CSP(=S)(OC)OC,2.8125592656421
Nc1nnc[nH]1,0.9247030334035522
COP(=O)(OC)OC=C(Cl)Cl,5.469283844530673
O=C(O)CF,3.2110871532525045
CNC(=O)Oc1cccc2ccccc12,1.7016219447356764
CNC(=O)Oc1cccc(C(C)C)c1,3.233032069736146
CS(C)=O,0.2907911833827593
O=C(O)c1ccccc1O,1.839232862622436
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,2.50689952892874
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,1.760489080190491
IC(I)I,2.5218479074729814
OCC(F)(F)F,1.7748600601025688
CC(C)(C)OO,2.057203729792042
CC(C)(C)C(=O)O,1.730412487875573
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,3.496535459092577
CCOP(=O)(C#N)N(C)C,3.954588198909403
CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,3.860147797663144
