curated_smiles,rabbit_intravenous_LDLo
C=O,2.796256242887528
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,3.470320432427674
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.850635209231151
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,4.0162322184008215
O=C1NC(=O)C(=O)C(=O)N1,2.675381125741463
O=CC(O)C(O)C(O)C(O)CO,1.176467484599134
O=c1[nH]cc(F)c(=O)[nH]1,3.938112591798545
NCCc1cnc[nH]1,4.744871656735144
CCOC(N)=O,1.6488184619684982
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,3.4191679099802927
CCC1C(=O)OCC1Cc1cncn1C,3.2394267033499795
N=C(N)NCCN1CCCCCCC1,3.598383370021215
NCCCC(=O)O,1.6331358741579465
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.815067611745041
C=CCN=C=S,3.917146512490641
NC(N)=O,1.0973151654827418
C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,3.794322104708861
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.20597111939853
CC[Sn](CC)(CC)OS(=O)(=O)O[Sn](CC)(CC)CC,5.228620188167437
CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,3.521571414434656
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,4.427044449249008
CCN(CC)C(=O)c1cccnc1,3.0749017314101974
CC(=O)OC1CCC2(C=O)C3CCC4(C)C(C5=CC(=O)OC5)CCC4(O)C3CCC2(O)C1,5.9094976785482185
CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,4.734282313698728
Cc1cc(=O)n(-c2ccccc2)n1C,2.4965375918539143
NCCc1ccccc1,3.3844716953290184
Cc1ccc(CC(C)N)cc1,4.474906505822768
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,5.124333560090241
CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,6.565529061750793
COc1ccc2[nH]cc(CCN)c2c1,3.404254270927704
C[N+](C)(C)CCO,4.976362486104023
CC(C)=O,1.5664703945385006
CN1C(=O)C23CC4=CC=CC(O)C4N2C(=O)C1(CO)SS3,3.860536305745367
c1ccccc1,2.948246205233641
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,5.883633048965699
CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,5.057427214283861
Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,3.9409615082987934
C[N+](C)(CCO)C(=O)Cc1ccc(-c2ccc(CC(=O)[N+](C)(C)CCO)cc2)cc1,6.918602724609922
CCN(CC)CC(=O)Nc1c(C)cccc1C,3.757068128630509
CNC,1.0519720826830885
CC=O,2.1668542343980217
C1CO1,2.400937440431389
CN(C)C,2.567555670894784
C[N+](=O)[O-],1.910553261555124
C[N+](C)(C)C,4.870093584092616
C[Pb](C)(C)C,3.4728214342764687
CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.1510238180450463
O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,4.166768654584354
COS(=O)(=O)OC,3.401858720959867
CC[Pb](CC)(CC)CC,4.167381789257333
CCO[Si](OCC)(OCC)OCC,2.716691822529149
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,3.566283075120315
O=C(O)CBr,3.489639786202998
CCC(=O)O,1.7491211799219537
CNC(C)=O,0.6349742644422877
O=C(O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,3.4489195509611785
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,6.051894187684212
O=C(O)c1c2c(nc3ccccc13)-c1ccccc1CC2,3.837757262647004
CCOC(=O)c1ccccc1C(=O)OCC,3.34682222839354
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,3.952864093302005
O=C(O)C(O)C(O)C(=O)O,2.8753101875432177
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.083010453370971
Cc1ccc(C(C)C)c(O)c1,3.3985793983072528
COc1ccccc1O,4.525706518543273
C1CCN2CC3CC(CN4CCCCC34)C2C1,3.8928122656603854
