curated_smiles,dog_oral_LD50
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.373513954511488
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.967949528705525
CC(=O)Oc1ccccc1C(=O)O,2.4105579225459426
O=c1[nH]cc(F)c(=O)[nH]1,3.637082596134564
CC(C)NCC(O)c1ccc(O)c(O)c1,2.546668080799873
O=[N+]([O-])C(Br)(CO)CO,2.903063928541268
NC1(C(=O)O)CCCC1,2.634003419159039
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.808610974476723
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.620796309954128
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.3495118569541
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.218468544133914
NNC(=O)c1ccncc1,3.4382004743402983
N=C(N)SCCN,2.8282774844229444
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.9871670458362365
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.189843893739444
CC(O)CO,0.5389334405508791
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,2.8051699705620536
Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.142107771731306
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.021751074320135
Cc1ncc(CO)c(CO)c1O,2.5293790162876184
Cc1cc(C(=O)NNCc2ccccc2)no1,3.762031140132554
NCCCCCC(=O)O,1.2727530328561196
CNC(=O)CSP(=S)(OC)OC,2.7582739797019595
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,3.767912438102421
COP(=O)(OC)OC=C(Cl)Cl,3.3443451079223725
O=C(O)CF,6.072784455086223
CNC(=O)Oc1cccc2ccccc12,2.4234401601681586
Nc1ccc(S(N)(=O)=O)cc1,1.9350258491783836
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.359003298286439
Cc1ncc(CO)c(C=O)c1O,2.5241727503175704
O=c1cc[nH]c(=O)[nH]1,1.3505891157277945
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.825320939552804
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,3.6363366500548207
CS(C)=O,0.8928511747107216
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,3.681973491647877
CCC(=O)c1ccc(N)cc1,3.4747784425761625
CC(Cl)(Cl)Cl,2.250110843787899
CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C,1.8882154495409351
Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,2.0059008779088585
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.541725136241133
CCC1(c2ccccc2)CCC(=O)NC1=O,2.6380257622661367
CCOP(=O)(C#N)N(C)C,5.908830708348727
CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,4.659488347116726
NC(=O)CCl,3.479510296030869
NNC(N)=S,3.959704259084432
C=C(C)C(=O)OC,1.326106014677341
CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,2.738369845102693
O=C1C(=C(O)C(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,5.054840227399799
CC(C)(C)C(O)=C1C(=O)c2ccccc2C1=O,3.48716289521177
COP(=S)(OC)SCn1nnc2ccccc2c1=O,4.501513868894247
NNc1nncc2ccccc12,3.204608289327035
NC(=S)Nc1cccc2ccccc12,5.726173642315763
NS(=O)(=O)c1cc2c(cc1Cl)NC(=CSCc1ccccc1)NS2(=O)=O,1.936461463144752
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,3.4073637070958123
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2.538989796155833
CC=C(CC)C(=O)NC(N)=O,1.9493639636723608
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,2.128927274611079
Cc1cc(N=Nc2ccccc2C)ccc1N,2.875630298759582
O=Cc1ccco1,2.004931989188327
Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,1.7411925829670092
ClCCCl,1.2395848309485726
OCCO,1.0525050619656204
COCC(C)O,1.2558608167464644
