curated_smiles,duck_oral_LD50
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,2.297387317000807
COP(=S)(OC)Oc1ccc(SC)c(C)c1,4.673715809679769
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,5.142069005821979
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,4.085416298095245
CNC(=O)CSP(=S)(OC)OC,3.7370846806320217
COP(=O)(OC)OC=C(Cl)Cl,4.452250505231892
O=C(O)CF,4.210183314254261
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.04716968916916
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,2.28403348297584
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,2.237610334910153
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.479577229492289
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,2.976003471806312
O=C1OC(=O)c2cccc3cccc1c23,1.4639061378696738
O=C1C(=C(O)C(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,2.032549356447186
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,2.294932236370508
COP(=S)(OC)SCn1nnc2ccccc2c1=O,3.36797496052403
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.8456495375763664
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,4.4263576135852265
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,2.01497391715127
Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,2.1391325916390467
CCOP(=O)(OCC)OP(=O)(OCC)OCC,4.911230947930896
O=CCCCC=O,2.086693975138905
CNC(=O)Oc1ccccc1OC(C)C,4.339289580055792
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,4.091004701293132
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,3.350751817816416
CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,5.615738843582215
CNC(=O)ON=CC(C)(C)SC,4.747886836079151
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,5.347266262194948
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,2.3673057957854944
O=c1ccc(=O)[nH][nH]1,1.0495591200638132
COP(=O)(OC)OC(C)=CC(=O)N(C)C,4.758099695955617
N#C[Na],4.29232697079046
ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,5.359365321729353
CCOP(=S)(OCC)Oc1cnccn1,5.169569478771338
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,4.420304035167887
CCOP(=S)(OCC)SCSCC,5.637466379719128
CCOP(=S)(OCC)SCCSCC,4.62549132508038
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,1.96317911893826
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,3.864675348026965
CCS(=O)CCSP(=O)(OC)OC,3.6590530189142862
CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,5.907215669178103
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.50203908620499
CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,4.869794763649818
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,4.444050003254746
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,4.939308115644156
O=C1OC(c2cc(I)c(O)c(I)c2)(c2cc(I)c(O)c(I)c2)c2ccccc21,4.016100139648511
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,2.846187181845805
