curated_smiles,rabbit_skin_LD50
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.072483958847507
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,3.228456823581856
CCOCCOCCOC(C)Oc1ccc2c(c1)OCO2,1.433311521657403
CN(CCCl)CCCl,4.114099224914622
COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,2.347995285570873
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],2.909030416693556
CC(C)OP(=O)(F)OC(C)C,3.196978786266608
ClC(Cl)(Cl)Cl,0.8859912814547038
CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,2.8210889977297224
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.288197041500217
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,2.860662557835481
OCC(O)CO,0.9642313364750952
C=CCN=C=S,3.0518450863880977
CN(C)N,1.753568606737969
CC(O)CO,0.5632927864103239
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,2.967347630404686
CNN,2.6857228865606797
CNC(=O)CSP(=S)(OC)OC,2.3603339710299225
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,3.4927801652174364
COP(=O)(OC)OC=C(Cl)Cl,3.3149613302371628
CNC(=O)Oc1cccc2ccccc12,2.002651940399657
CNC(=O)Oc1cccc(C(C)C)c1,3.6840505218916033
CO,0.307062529129919
CC(C)O,0.6716355966021298
ClC(Cl)Cl,0.775894302997557
CS(C)(=O)=O,1.2747811226059065
ClC(Cl)(Cl)C(Cl)(Cl)Cl,0.8691216649560737
CN(C)C=O,1.189945671802888
O=C(O)c1ccccc1O,1.1402628582864174
CCCO,1.0764150298044726
CCCCO,1.3384740712770196
c1ccccc1,1.5916988817198283
CC(O)C(=O)O,1.653588739318796
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,1.760489080190491
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,2.426031157617341
CNC,2.3318127792771315
BrCBr,1.6380772305922011
ClCBr,0.8108505778762609
CC#N,1.3123149035707624
CC=O,1.0949722270918965
NC=O,0.4231591027754235
CSC,1.0943802771722984
CC(C)N,2.1918920569338987
CC(C)(C)O,1.5689229926552932
ClC(Cl)(Br)CBr,2.710543830934585
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,2.8731124161490893
CC(C)CC(=O)OC1CC2CCC1(C)C2(C)C,1.6782834140725142
O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,2.360588680600467
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,2.238521558407136
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,2.802332924586198
CC1CCC2C(C)(C)C3CC12CCC3(C)O,1.648110097768962
CC(=O)OC1(C)CCC23CC1C(C)(C)C2CCC3C,1.7233062293210584
C1=CC2C3C=CC(C3)C2C1,1.4153874532118504
O=S1(=O)CC=CC1,1.373489451393859
CCOP(=O)(C#N)N(C)C,4.811920695340671
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,1.7423873026070398
C=CC1OCC2(CO1)COC(C=C)OC2,1.4281122864761469
