curated_smiles,rat_intraperitoneal_LD50
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,5.223147950651339
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,2.8271378156168145
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.5170745400868317
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,3.3831760161136675
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,2.2558150341956003
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,4.590563821246076
O=C(O)c1c(Cl)ccc(Cl)c1Cl,2.353065650129232
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.3367992680265046
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,4.168493947868353
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,1.633860490266074
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,3.095413464448446
S=c1nc[nH]c2nc[nH]c12,2.9809661630486035
CN(C)CCCN1c2ccccc2CCc2ccccc21,3.570321447398781
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.539061619365192
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.140942063438081
O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,2.1185599144004112
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,3.496386915583308
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,3.1167710717474115
O=C1NC(=O)C(=O)C(=O)N1,2.894823805591941
Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2,7.100882435070409
CC(=O)Oc1ccccc1C(=O)O,2.409232502921584
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Cl,2.118345755961692
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,2.187157481866896
CCN(CC)CCOC(=O)c1ccc(N)cc1,3.063944623862265
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,2.5939066272428044
c1ccc2[nH]cnc2c1,2.486932560897466
C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.310134422570701
O=c1[nH]cc(Br)c(=O)[nH]1,2.0505480636559863
O=c1[nH]cc(F)c(=O)[nH]1,3.269105810839969
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.964040305624276
CC(C)NCC(O)c1ccc(O)c(O)c1,2.933380823395751
NCCc1cnc[nH]1,1.8254038435823576
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.014302977019809
NCCc1ccc(O)c(O)c1,2.597159478148248
