curated_smiles,rabbit_intraperitoneal_LD50
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.939296699910011
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,3.2986289604679144
NNCCc1ccccc1,3.289072690210518
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,2.682183651182393
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.632519715421042
NNC(=O)c1ccncc1,2.969853143928141
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.079726643862531
N=C(N)SCCN,2.7033387478146444
CCCCCCCCCCCCCCCC[N+](C)(C)C,3.357251629425872
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.189843893739444
CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,3.5151105097905035
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.047191282036696
CNC(=O)Oc1cccc2ccccc12,2.955377073015478
NC(=O)NC(=O)Cc1ccccc1,1.8529457564101663
Cc1ccc(CC(C)N)cc1,3.5718165188308246
CCO,1.6797824981866345
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.400395983444664
CO,1.2442188428860614
CC(C)O,1.9547197323334489
CN(C)C=O,1.863887670436976
CCCO,2.0670383372088077
CCCCCO,2.799094280957102
C#N,4.235882120019889
CNC,3.1087249575452267
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.541725136241133
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,3.84036422749415
CC(C)CO,2.3607504659881715
CCC(C)O,2.427473219254826
CC=C(CC)C(=O)NC(N)=O,2.0475112862443448
N#Cc1ccccc1,1.9164497371890752
Nc1ccc(Oc2ccc(N)cc2)cc1,2.4886396488216613
ClCC1CO1,2.762139111111225
OCCCl,3.0027814162840194
O=CCCl,4.1527621894734885
O=CC=O,2.985546221648909
O=C1CCCCC1,1.804347458517581
Clc1ccccn1,3.3739344269339564
N#CCC#N,3.8180948289435626
O=C(O)CCCCCCCCC(=O)O,1.527737279900666
CCCCOCCO,2.730106605148678
CCCCOCCOCCSC#N,3.4050623449615744
Oc1ccc(O)cc1,2.94492463793278
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.383342828108735
