curated_smiles,cat_intravenous_LDLo
C=O,3.0003762255434525
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,5.126237937643283
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.9475452222392073
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,4.317262214064803
CN(C)CCCN1c2ccccc2CCc2ccccc21,4.146771245595655
NCCc1c[nH]c2ccc(O)cc12,4.547082728061776
CCN(CC)CCOC(=O)c1ccc(N)cc1,4.207272059217833
C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.310134422570701
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.616362968347771
CN(CCCl)CCCl,1.607819741453747
NC1(C(=O)O)CCCC1,1.509064682550739
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,4.606894189028446
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.248280470163401
C1CCc2nnnn2CC1,3.5383663388387974
ClCCN(Cc1ccccc1)Cc1ccccc1,3.870537668114273
CC(Cc1ccccc1)NN,3.699620957965613
N=C(N)NCCN1CCCCCCC1,3.598383370021215
NCC(=O)O,1.3983278052191916
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.543416312314577
CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,3.5885182040652683
Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.3851458204176006
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.364173755142341
Cc1cc(=O)n(-c2ccccc2)n1C,2.554529538831601
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,3.841157951607298
CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,4.150456780733236
CCO,1.06736177776573
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.5764872425003453
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,6.005777004010935
COc1ccc2[nH]cc(CCN)c2c1,4.881375525647367
C[N+](C)(C)CCO,3.61981516259021
CO,0.8391080476653116
CC(C)O,1.4859252666499918
CS(C)=O,2.59182117904674
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,4.602023074728022
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,3.5433378160570173
CCCO,1.1759178533908088
CCCCO,2.484346714720962
CCCCCO,2.8588624859605924
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.628360543862393
CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,4.978245968236236
CC(C)CO,2.0096149817482805
O=C(O)CO,1.881104928995547
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,5.783048875391633
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,4.484339536002302
COc1cccc(OC)c1O,3.1879857872545294
Nc1ccc2cc3ccc(N)cc3nc2c1,4.274916470014109
c1ccc2scnc2c1,3.130947780507699
OCc1ccccc1,2.2381063478955303
CC(=O)Nc1ccccc1,4.201448536088297
C=CC=O,3.5725928210962863
CCOCCOCCO,2.127671603959073
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,3.5788654654282017
CC(C)CCO,2.6230030219014213
C1COCCO1,1.7689142257259842
COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314,4.5219657679062255
COc1ccc(C(=O)Cc2c(CCN(C)C)cc3c(c2OC)OCO3)c(C(=O)O)c1OC,2.7457265251462326
Nc1cc([AsH]=[AsH]c2ccc(O)c(N)c2)ccc1O,4.009663316679379
CC12CCC(O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,6.168642457694381
CCCCCCC1(CC)C(=O)NC(=O)NC1=O,3.681789188337681
CCC1(CC)C(=O)NC(=O)NC1=O,2.663217845706148
Nc1nc2nc[nH]c2c(=S)[nH]1,3.848113795975757
C=C1CC1CC(N)C(=O)O,3.5476824233854414
CC1OC(C[N+](C)(C)C)CC1O,5.199814993310577
Nc1cc([As]=O)ccc1O,4.453844504936736
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.678130345260672
COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,3.9310444840010295
CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,4.755777626296001
CNCC(O)c1ccc(O)c(O)c1,5.56397205890026
COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,5.280774646234455
COc1ccc2c(c1)[nH]c1c(C)nccc12,4.326851791188648
CC12CCC(O)CC1CCC1C2CCC2(C)C(c3ccc(=O)oc3)C(O)CC12O,6.184843583693656
CC(=O)OC1C(c2ccoc(=O)c2)C2(C)CCC3C(CCC4CC(O)CCC43C)C23OC13,6.284236471753502
CC12CCC(O)CC1(O)CCC1C2CCC2(C)C(c3ccc(=O)oc3)CC3OC312,5.420775197881823
OCC1CCCN2CCCCC12,3.228574862793003
CCN(CC)CCCC(C)Nc1cc(OC)cc2cccnc12,4.799975671346417
