curated_smiles,cat_intravenous_LD50
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.4890876124095613
CCN(CC)CCNC(=O)c1ccc(N)cc1,3.14123021889658
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,4.481955452420145
CC(C)OP(=O)(F)OC(C)C,5.034715726634495
NCCCC(=O)O,1.3143771115335336
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.9871670458362365
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,4.033991719925563
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.620344299754493
COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,6.1830868318786765
Cc1ncc(CO)c(CO)c1O,2.480160993617437
CC(=O)OC1CCC2(C=O)C3CCC4(C)C(C5=CC(=O)OC5)CCC4(O)C3CCC2(O)C1,6.378018761505964
Cc1cccc(Nc2ccccc2C(=O)O)c1C,3.382539323422204
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,6.203514806137866
Cc1ncc(CO)c(C=O)c1O,3.019022771997664
CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,6.256673728574856
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,3.548777468354918
C#N,4.523296753550474
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.49730599645272
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,3.872548910865552
CCOP(=O)(C#N)N(C)C,6.537762846076991
O=C(O)CO,1.881104928995547
OCC(O)CS,2.6916520282943384
CC(OP(C)(=O)F)C(C)(C)C,7.084397519141149
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,5.178797152431605
CC(C)OP(C)(=O)F,6.80399685472987
SCCCS,3.5871936397857302
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,6.115884833039844
ON=Cc1cc[n+](COC[n+]2ccc(C=NO)cc2)cc1,3.459855187044701
CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,6.617890780992776
COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,4.136951053817994
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,1.9975603357396248
Cc1ccccc1CC(=O)OC1CC2CCC(C1)N2C,4.322817032376031
CN1C2CCC1CC(OC(=O)Cc1ccc([N+](=O)[O-])cc1)C2,3.881307606893993
CN1C2CCC1CC(OC(=O)Cc1cccc(Br)c1)C2,4.228201389831964
N#C[K],4.471265033674372
CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,6.634937715498935
CC(C)NCC(O)COc1cccc2ccccc12,4.052156741759015
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,3.9661075853931216
COC(=O)CCCF,5.7785961742430505
COC(=O)CF,5.663083430458716
COC1CC(OC2CCC3(C)C(CCC4C3C(=O)C(O)C3(C)C(C5=CC(=O)OC5)CCC43O)C2)OC(C)C1O,6.136250962505938
CC(=O)OC1CC2(O)C3CCC4CC(OC(=O)CCCCCCC(=O)NC(CCCNC(=N)N)C(=O)O)CCC4(C)C3CCC2(C)C1c1ccc(=O)oc1,6.401939053630345
CC12CCC(O)CC1CCC1C2C(O)CC2(C)C(c3ccc(=O)oc3)CCC12O,6.604799332183414
COC1CC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(OC(C)=O)CC43O)C2)OC(C)C1O,6.31944184155628
CC12CCC(O)C=C1CCC1C2CCC2(C)C(c3ccc(=O)oc3)CCC12O,6.389014763424282
COC1CC(OC2CCC3(C)C(C2)CC2OC4CC(c5cc(O)co5)C5(C)C(O)C(=O)C3C2C45O)OC(C)C1O,5.474240964459137
COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3C(=O)C(O)C3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1O,6.069651176836787
COC1CC(OC2CCC3(C)C(CCC4C3C(O)CC3(C)C(C5=CC(=O)OC5)CCC43O)C2)OC(C)C1O,6.382426101897419
CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1O,6.679491737088335
COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1O,6.382929886044496
COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1OC1OC(CO)C(O)C(O)C1O,5.557570153929644
CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,4.400616408584805
COC1C(O)C(C)OC(OC2CCC3(CO)C(CCC4C3CCC3(C)C(c5ccc(=O)oc5)CCC43O)C2)C1O,6.671095669106367
CC12CCC3C(CCC4CC(O)CCC43C=O)C1(O)CC(O)C2C1=CC(=O)OC1,5.693107894525302
CC12CCC3C(CCC4CC(O)CCC43CO)C1(O)CCC2C1=CC(=O)OC1,5.91040204326338
CC12CCC3C(CCC4CC(O)CCC43C=O)C1(O)CCC2C1=CC(=O)OC1,5.558391213250834
CC(=O)OC1CC2(O)C3CCC4CC(O)CCC4(C)C3CCC2(C)C1c1ccc(=O)oc1,6.514399290605491
CC12CCC(O)CC1(O)CCC1C2CCC2(C)C(c3ccc(=O)oc3)CCC12O,6.604799332183414
O=c1cccc2n1CC1CNCC2C1,5.677255542991442
CC(=O)OCC12CCC(O)C=C1CCC1(O)C2CCC2(C)C(c3ccc(=O)oc3)CCC21O,6.810129296165536
CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)CCC(OC3OC(CO)C(O)C(O)C3O)C=C12,6.678932795562456
COC1CC(OC2CCC3(C=O)C(CCC4C3C(O)CC3(C)C(C5=CC(=O)OC5)CCC43O)C2)OC(C)C1O,6.660132343199809
COC1CC(OC2CCC3(C)C(CCC4C3C(O)C(=O)C3(C)C(C5=CC(=O)OC5)CCC43O)C2)OC(C)C1O,6.119451187104201
CC12CC(O)C3C(CCC4(O)CC(O)CC(O)C34CO)C1(O)CCC2C1=CC(=O)OC1,3.2635885333858075
