curated_smiles,mouse_intraperitoneal_LD50
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,2.245193910891426
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,4.922117954987358
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,2.967622916484321
CCC1(CC)C(=O)NC(=O)N(C)C1=O,2.5981818493872657
CCC1(c2ccccc2)NC(=O)N(C)C1=O,2.861844936861033
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.306187358017361
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,3.743931673216726
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,4.044455235247264
O=C(O)c1c(Cl)cccc1Cl,2.7813758429337105
O=C(O)c1c(Cl)ccc(Cl)c1Cl,3.102645647820338
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.341652064439758
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,3.788282706156747
CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,3.810823723989599
O=C(O)c1c(Cl)c(Cl)cc(Cl)c1Cl,3.040062946480236
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,3.22973191492644
S=c1nc[nH]c2nc[nH]c12,3.1302206232630376
O=C1C=CC(=O)c2cnccc21,3.8038502609515774
CN(C)CCCN1c2ccccc2CCc2ccccc21,3.58295972079664
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,5.08542473558825
O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,1.890859701450288
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,3.2902291442703056
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,3.678960663221172
NCCc1c[nH]c2ccc(O)cc12,3.0419327497418696
OCC(O)C(O)C(O)C(O)CO,1.0993719789474854
O=C(O)c1cc(Cl)c(Cl)c(Cl)c1Cl,2.6650749769212787
Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2,6.22582117167871
CC(=O)Oc1ccccc1C(=O)O,2.7126362969261795
O=C(O)c1cc(Cl)ccc1Cl,2.9063145795420104
O=C1OC(C(O)CO)C(O)=C1O,2.373677891663281
CC(=O)Nc1ccc(C(=O)O)c(O)c1,1.9790920105729757
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,1.9842100870094912
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,2.578364107879965
OC(c1ccccc1)c1nc2ccccc2[nH]1,2.8838900071239992
O=CC(O)C(O)C(O)C(O)CO,1.0003762255434523
CCN(CC)CCOC(=O)c1ccc(N)cc1,3.330250527350094
CCN(CC)CCNC(=O)c1ccc(N)cc1,3.0152701401709288
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,2.9424912249101363
C1CN1c1nc(N2CC2)nc(N2CC2)n1,4.862976391228481
O=c1[nH]cc(Br)c(=O)[nH]1,2.1348689493560222
O=c1[nH]cc(F)c(=O)[nH]1,3.114203850854227
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.8500969533174394
CC(C)NCC(O)c1ccc(Cl)c(Cl)c1,3.353326844730024
CC(C)NCC(O)c1ccc(O)c(O)c1,2.842743839772047
O=C(O)c1cc(Cl)cc(Cl)c1,2.9063145795420104
NCCc1cnc[nH]1,2.350692783360849
C1CN2CN3CCN(CN1C3)C2,2.7897769381087203
N=C(N)NC(=O)Nc1ccc([N+](=O)[O-])cc1,2.9964961057647463
NCCc1ccc(O)c(O)c1,2.285558400096014
NC(Cc1ccc(F)cc1)C(=O)O,2.2628827963802096
NNCCc1ccccc1,2.99823121700972
C(#CCN1CCCC1)CN1CCCC1,3.886052825884906
CN(CCCl)CCCl,4.758278058459075
CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C,2.000701903812679
CCOC(N)=O,1.762609837801001
CN(C)CN(C)C,2.6669474677917693
CN(C)CSC(=S)N(C)C,2.638430811376121
C[N+](C)(C)CCOC(N)=O,6.46893190488513
CC[N+](C)(C)C,3.3432805516138373
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,3.2047281952289217
S=P(N1CC1)(N1CC1)N1CC1,4.235583533622871
CCC1CC[Si](C)(C)CC12C(=O)NC(=O)NC2=O,2.7755521984026914
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,2.966870238985662
C[Si]1(C)CCCC2(C1)C(=O)NC(=O)NC2=O,2.3808170217402385
C[Si]1(C)CCCC2(C1)C(=O)NC(=S)NC2=O,3.0471952662481554
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,3.389097259137406
O=C1NC(=O)C2(CCCCC2)C(=O)N1,2.292712284017674
O=C1NC(=S)NC(=O)C12CCCCC2,2.5487455532594137
C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,3.889087584581186
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,3.303158604208454
O=[N+]([O-])C(Br)(CO)CO,4.110672239043014
NC1(C(=O)O)CCCC1,3.0355777124861705
CC1CC[Si](C)(C)CC12C(=O)NC(=O)NC2=O,3.043724395082271
C[Si]1(C)CCCCC2(C1)C(=O)NC(=O)NC2=O,2.5793774283990376
C[Si]1(C)CCCCC2(C1)C(=O)NC(=S)NC2=O,3.285926832478036
CC(C)(S)C(N)C(=O)O,2.766272662743817
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,3.1184148944482093
COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,4.447890152128392
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.09791756467379
NC(CS)C(=O)O,1.87866087879748
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,3.424075430352314
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.690551140423304
CC(=O)OCC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3C(O)CC21C,2.470718610521954
CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,2.5216230358817984
CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,3.869286577202512
NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1,2.371305371882272
NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1,2.1856657732735565
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.553631839610025
CC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2,2.202804250798899
CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,2.6767422401027074
COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,3.5175521636667457
CN1CC(O)C2=CC(=O)C(=O)C=C21,3.2532774131415776
NC(Cc1c[nH]c2ccccc12)C(=O)O,1.969496792156812
O=C(O)Cc1c[nH]c2ccc(O)cc12,2.2303035645232643
O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,2.3523875532094496
O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,1.33835200244438
CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1,3.262758817831529
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,2.549125926758111
O=C(O)c1ccccc1Nc1ccccc1F,2.791165064146911
O=C(O)c1ccccc1Nc1cccc(F)c1,2.805328095814225
O=C(O)c1ccccc1Nc1ccc(F)cc1,3.2087006288823288
CC[Hg]Sc1ccccc1C(=O)O,3.85061674126896
CCC1C(=O)OCC1Cc1cncn1C,3.0522307599013545
C[N+]1(C)CCN(c2ccccc2)CC1,4.014538701145953
CC(C)NCC(O)c1ccc2ccccc2c1,3.309436686111534
NNC(=O)c1ccncc1,3.137170478676317
O=C(O)c1cccnc1,2.536413832346505
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,3.3768669980940187
Cc1cc(N(C)C)ccc1N=Nc1ccccc1,2.8411635284855628
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,3.096675888043729
C1CCc2nnnn2CC1,3.400063640672516
Nc1ccncc1N,3.7369221186796335
CCN(CC)N=O,2.888609166267265
NC(=O)c1ccccc1,1.9753959590670989
O=C(O)c1ccncc1,2.450810369721794
CCC(=O)c1ccc(NO)cc1,3.0908842129005314
COP(=S)(OC)Oc1ccc(SC)c(C)c1,3.3476578083138566
C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1,3.9136412558497233
CC(Cc1ccccc1)NN,3.4955009753096884
N=C(N=C(N)Nc1ccc(Cl)cc1)NCCCCCCNC(=N)N=C(N)Nc1ccc(Cl)cc1,4.060232398127198
N=C(N=C(N)N)Nc1ccccc1,2.706202537336853
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.339155108736995
N=C(N)NCCN1CCCCCCC1,3.169717121805581
Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,2.1942911927412383
COc1ccc(CCN)cc1,3.1034334690663368
CC(C)OP(=O)(F)OC(C)C,4.8759985636482375
CC(CCC(C)OS(C)(=O)=O)OS(C)(=O)=O,4.234200811530524
CS(=O)(=O)OCCCCOS(C)(=O)=O,3.456976540113005
Cc1cc(=O)[nH]c(=S)[nH]1,2.85181767775124
N=C(N)SCCN,2.429354496903745
NCCCC(=O)O,1.318741916935984
NCCSSCCN,2.707726831100226
ClC(Cl)(Cl)Cl,2.4296252483256606
CC12C(=O)OC(=O)C1(C)C1CCC2O1,5.292703430080304
CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,4.678421494160991
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.9871670458362365
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,2.697929034177499
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.3794079702711293
O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,3.000361000068875
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,3.860662557835481
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,2.4679872834916137
OCC(O)CO,1.0247120838564767
NC(CSSCC(N)C(=O)O)C(=O)O,2.398041226807267
CN(CCCCCCCCCCN(C)C(=O)Oc1cccc([N+](C)(C)C)c1)C(=O)Oc1cccc([N+](C)(C)C)c1,7.283294988795476
ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1,3.580921974138056
CCCCCCCCCCCCCCCC[N+](C)(C)C,3.428855777169158
CN(C)N,2.5434094374014853
C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,2.822155796095231
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.3487412610003418
CCN(CC)CC(C)OC(=O)C(O)(c1ccccc1)c1ccccc1,3.461446381658815
CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,3.5747037136501074
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.3954521594551776
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.631002367936549
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,1.3882750571810671
CCCC(C)(COC(N)=O)COC(N)=O,2.81913222824446
CC(O)CO,0.8937792266460979
O=C1CCO1,2.2502573147318263
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,3.3857650077921604
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,3.0739528426985427
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,2.4376385308992337
C=C(O)/C(C)=N\O,3.2972024574229866
CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,2.5504111886735745
CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,3.044450159714993
COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,6.163297503275844
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,3.606908862922776
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,3.676436173647024
Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.062926525683681
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,3.5264737509184108
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,3.136287050528668
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,2.8786050847361264
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OC(=O)CCC3CCCC3)CCC12,2.615543959506246
CC1=CC(=O)c2ccccc2C1=O,3.798459638704884
CNCCCN1c2ccccc2CCc2ccccc21,3.4885638583109158
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,3.5268869701691967
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,3.493635775609221
CN(C)CCCN1c2ccccc2Sc2ccccc21,3.3078443118187555
COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,3.1037065922743445
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3.2775246962704654
Cc1ncc(CO)c(CO)c1O,2.243371894208144
O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O,1.926762000856681
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O,2.320761630496298
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,1.8446009814387871
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,3.6414076575441015
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,3.4514737866930068
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,2.7119166387346483
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,2.3247658790488512
CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,1.9756652077883103
O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,1.750761893076908
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,2.669737320996018
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,3.8368277125844417
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,2.0029799770962837
CCN(CC)C(=O)c1cccnc1,3.010443742183279
Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,3.715417338702772
O=c1ccc2ccccc2[nH]1,2.985758692295557
CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,3.5633881852940767
Cc1ccccc1OCC(O)CO,2.755443680623021
O=C1Cc2ccccc2N1,2.5222811794469977
O=c1[nH]c2ccccc2o1,2.5286660734657147
OCC(S)CS,3.6962864765500023
