curated_smiles,guinea pig_intravenous_LDLo
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,3.858863780442455
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,3.6482554331062262
CN(C)CCCN1c2ccccc2CCc2ccccc21,3.555706638569156
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.580274757268343
CCN(CC)CCOC(=O)c1ccc(N)cc1,3.6745212848396176
CCOC(N)=O,2.046758470640536
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,4.180925456756164
CCC1C(=O)OCC1Cc1cncn1C,4.017577953733623
O=C(O)c1cccnc1,1.5462288146401044
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.815283467136009
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,3.6802312339537537
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,4.126014453585027
CNCCCN1c2ccccc2CCc2ccccc21,3.685151967748901
NCCCCCC(=O)O,0.8211858826088453
CC[N+](C)(CC)CCOC(=O)C(O)(c1cccs1)C1CCCC1,3.536493400648851
CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,3.609343577090428
CC(=O)OC(C)C[N+](C)(C)C,4.63073153765639
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.400395983444664
CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,6.2267105051974125
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.524290943888823
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.392271355131426
CCN(CC)CC(=O)Nc1c(C)cccc1C,3.5569386287073894
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,2.754220178922721
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,3.7487441106460806
C1CCN2CC3CC(CN4CCCCC34)C2C1,3.9385697562210606
NCC(O)c1ccc(O)cc1,2.884174904705165
N=C(N)N,2.0724116706737803
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,3.3481711135112677
CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,6.292832546752536
COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5cc(OC)c(OC)cc45)C3CC12,4.336655611991474
CC12CCC(O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,5.421493778856845
N#C[K],4.114717710160559
OC(O)C(Cl)(Cl)Cl,2.616483390984273
CC=C(C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)OC)C(C)(C)O)C12,3.915394558212022
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,3.833032305246415
CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,4.836730003076293
CC(C)NCC(O)COc1cccc2ccccc12,3.965178257871529
CNCC(O)c1ccc(O)c(O)c1,6.162598731348286
COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,3.5168338350011976
CC12CCC(O)CC1CCC1C2CCC2(C)C(c3ccc(=O)oc3)C(O)CC12O,5.5794934669186445
CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2c1ccc(=O)oc1,5.490907319292884
CC(=O)C1CCC2C3CCC4CC(N)CCC4(C)C3CCC12C,3.695587008584404
CN1C2CCC1CC(OC(=O)c1ccccc1)C2,3.991796487965556
CN(C)CCC=C1c2ccccc2CCc2ccccc21,3.8130879838859872
O=C1CCCC2C3CC(CN12)C1CCCCN1C3,3.5030045346220904
OC(CNCCCl)C(O)C(O)C(O)CNCCCl,4.183557379575998
CC(C[N+](C)(C)C)OC(N)=O,4.093489033302542
COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(O)CC43O)C2)C1O,5.442053325136016
CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)CC(O)C1O,5.790047224484014
CCCCOc1ccc(OCCCN2CCOCC2)cc1,3.430043972933745
CCCC[Sn](Cl)(Cl)CCCC,4.7836878070394455
CN(C)C1C(=O)C(C(=O)NCNCC(=O)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,4.026547972271754
N=C(N=C(N)N)NCCc1ccccc1,3.8351936488511
COC1=CC=C2C3Cc4ccc(OC)c5c4C2(CCN3C)C1O5,3.752929419550635
COC(=O)C1C2CC3c4[nH]c5ccc(OC)cc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.06839139628947
CNCCC=C1c2ccccc2CCc2ccccc21,3.777136712504172
