curated_smiles,man_oral_TDLo
C=O,1.668275734803462
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,4.771453963183525
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.507643499485467
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.57195559224282
CC(=O)Oc1ccccc1C(=O)O,2.1837388689411537
CCN(CC)CCNC(=O)c1ccc(N)cc1,3.909281142375898
CCCc1cc(=O)[nH]c(=S)[nH]1,2.8211208340004963
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,5.621428376924122
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,5.69993362783385
NC(Cc1c[nH]c2ccccc12)C(=O)O,2.8329961561249437
CC[Hg]Sc1ccccc1C(=O)O,3.6639324087158553
NNC(=O)c1ccncc1,2.5037020230967304
COP(=S)(OC)Oc1ccc(SC)c(C)c1,3.0346346979906187
ClC(Cl)(Cl)Cl,1.956572355740411
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,3.342148617957593
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.8096326520278376
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.287927419500927
Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.877479043207157
CNCCCN1c2ccccc2CCc2ccccc21,5.735318577214632
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,5.673188758393022
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,5.004523424206728
CNC(=O)CSP(=S)(OC)OC,2.864948803042956
COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,4.662629604033674
CNC(=O)Oc1cccc2ccccc12,2.60471193172762
CCC1(C)CC(=O)NC(=O)C1,3.8898533263094888
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,5.999394823481941
O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,4.311098554829939
CO,0.9705521309693976
CC(C)O,0.6195190460521316
CC(C)=O,1.308116367309294
O=C1CCCN1CC#CCN1CCCC1,7.4693780305829
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,7.032374700246623
CCC(CO)NCCNC(CC)CO,2.381631878154605
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,4.546427519959766
ClC=C(Cl)Cl,1.787536836196601
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,3.838686462116
CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,3.2414401970294784
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,4.480419836749651
CN(C)CCN(Cc1cccs1)c1ccccn1,5.784838322441601
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,4.295951747469538
O=c1[nH]c2cc(Cl)ccc2o1,3.530371332308826
CNC(C)CC1CCCCC1,4.638339656199952
Nc1ccc(Cc2ccc(N)cc2)cc1,4.37194272466538
CC(=O)Nc1ccccc1,2.523412438587921
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,4.073286967661632
ClCCCl,2.0450948322449407
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,3.675020189927452
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,3.436356172500903
NC(=O)NO,3.734999734992562
CC1NCCOC1c1ccccc1,4.792668652868853
CCN(CC)C(C)C(=O)c1ccccc1,4.270998379621155
Nc1ccc(N=Nc2ccccc2)c(N)n1,3.271971969025714
N#C[Na],4.836568767686323
O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,4.407732272071949
CN(C)CCOC(c1ccccc1)c1ccccc1,4.377202928345071
CC(C)(N)Cc1ccc(Cl)cc1,4.535144953135498
N#C[K],3.67699884882432
CN(C)C(=O)Oc1ccc[n+](C)c1,4.303951633943449
CC(Cc1ccccc1)N(C)Cc1ccccc1,4.650133558593823
OC(O)C(Cl)(Cl)Cl,2.218543382312236
CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.293515659544584
CC(C)NCC(O)COc1cccc2ccccc12,3.767125738008488
CNCC(O)c1ccc(O)c(O)c1,3.376451338063798
Cc1ccccc1-n1c(C)nc2ccccc2c1=O,4.641522348653845
Cc1ccccc1C(OCCN(C)C)c1ccccc1,3.5791198972712466
CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1,4.403894931753261
CCNC(C)Cc1cccc(C(F)(F)F)c1,4.732050232546055
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,6.299121594530574
COC(=O)CF,5.151200069479842
COc1ccc2c3c1OC1C(OC(C)=O)=CCC4C(C2)N(C)CCC314,2.387144385699795
CN(C)CCOC(C)(c1ccccc1)c1ccccn1,3.67609328303884
CC(C)C(Br)C(=O)NC(N)=O,2.896355288649971
COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,2.4926000772760672
N#CS,2.140092269542787
CC(C)CON=O,2.934165869821928
CCCCON=O,2.8286556850519537
CN(C)CCC=C1c2ccccc2CCc2ccccc21,4.288213032090002
COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,6.425703339720964
CC(C)NCC(O)c1cc(O)cc(O)c1,5.868453298054473
O=C(O)CCCO,3.1662132397757303
N#C[Hg]C#N,3.548779833870876
Nc1ccc(N)cc1,3.1827440803803424
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,5.355283884343857
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,5.845741123576251
CN(C)CCC=C1c2ccccc2CSc2ccccc21,4.139483559411392
COc1nn(CSP(=S)(OC)OC)c(=O)s1,3.5120112237390915
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,4.930393629083379
O=C(O)CNCP(=O)(O)O,2.1438555720279555
COc1cc(CC(C)N)cc(OC)c1OC,5.4082553874272925
CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C,4.226015709596843
N=C1NC(=O)C(c2ccccc2)O1,5.516779490476536
OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,6.021261125217273
O=C(O)COc1ccc(Cl)cc1Cl,1.815483791270871
c1cc[n+]2c(c1)-c1cccc[n+]1CC2,2.332407817450309
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,3.0676795084342743
Cn1c(=O)c2[nH]cnc2n(C)c1=O,3.300797881379082
CC(Cc1ccccc1)N(C)Cc1ccco1,4.603507378526886
O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,4.513476990490622
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,4.008653390863988
O=C(O[Zn]OC(=O)C(O)C(O)C(O)C(O)CO)C(O)C(O)C(O)C(O)CO,3.9865659219442935
CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,3.652747670997235
CCCCCC(C)NC,4.655510230930111
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,5.242823708143448
Cn1c(N)nnc1-c1ccc([N+](=O)[O-])o1,3.220118469788263
COP(N)(=O)SC,2.5555833091631026
CNCCCC12CCC(c3ccccc31)c1ccccc12,5.752927597850011
O=C(O)CC(S[Au])C(=O)O,4.798856476976356
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,5.125273061310827
C=CCc1ccccc1OCC(O)CNC(C)C,5.640180231078111
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,4.426788342266106
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,4.0091181384595584
CCNC(C)Cc1ccccc1,4.580838265887866
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,5.9454492750016765
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,4.622029684518514
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,5.437632646417291
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,6.693869924683368
COc1ccc2cc(C(C)C(=O)O)ccc2c1,3.6298303987805016
CN1CCOC(c2ccccc2)c2ccccc2C1,4.1732634161261055
COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,4.031965043232407
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,5.74626764558982
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,4.41666757606999
CC(C)Cc1ccc(C(C)C(=O)O)cc1,2.465287518148361
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,3.573571396009307
Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,1.9146909818014972
COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,3.78504391064597
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,3.636634517679626
COC(CN1CCN(CC(O)C(OC)c2ccccc2)CC1)c1ccccc1,4.554967291603197
