curated_smiles,mouse_unreported_LD50
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,4.444996700267695
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.381877642761693
CN(C)CCCN1c2ccccc2CCc2ccccc21,3.4184174635744267
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.5871637991425973
NCCc1c[nH]c2ccc(O)cc12,2.8481127237257566
CC(=O)Oc1ccccc1C(=O)O,2.1253221940651934
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,2.6509147750285766
CCN(CC)CCOC(=O)c1ccc(N)cc1,2.649215419574847
O=c1[nH]cc(F)c(=O)[nH]1,2.8812077404620733
CCOC(N)=O,1.6488184619684982
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,2.7623109548237537
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.319766314290146
NC(CS)C(=O)O,1.6062415943971615
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,3.448531696933196
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.5652560303585705
O=C(O)c1cccnc1,1.4882368676624178
CCN(CC)N=O,2.686963802739196
CC(C)OP(=O)(F)OC(C)C,4.56619464367675
CS(=O)(=O)OCCCCOS(C)(=O)=O,3.728717159675
N=C(N)SCCN,2.3519748811839625
NCCCC(=O)O,1.1542088185750217
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,4.302920298320923
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,2.942689278858317
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.584128898400308
CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,3.810366953681625
COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,6.131934309431295
Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.8885620859285064
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2.887052500422679
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,2.703493428542747
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,2.4324517919969524
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,3.571655981440184
CCN(CC)C(=O)c1cccnc1,2.791600502706648
OCC(S)CS,3.0985912906244906
NCCS,2.4216182533528565
OCCS,2.2116099373351346
CNC(=O)CSP(=S)(OC)OC,3.1616768840755
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,3.657554988789906
CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,3.354071071987122
COP(=O)(OC)OC=C(Cl)Cl,3.4692838445306724
O=C(O)CF,3.892328390628092
CNC(=O)Oc1cccc2ccccc12,2.735480211996644
COc1cc(NC(C)CCCN)c2ncccc2c1,3.576302837714336
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.5868347595126124
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,2.5191294120931884
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.740230104518368
O=Cc1cccc2ccccc12,2.152243856114025
O=Cc1ccc(-c2ccc(C=O)cc2)cc1,2.146607562844365
O=Cc1ccc2ccccc2c1,2.0175452822165685
O=Cc1ccc(Oc2ccccc2)cc1,3.018396061814974
O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,2.2917933996345523
CON,2.1955029816567646
CS(C)=O,0.8136699286630967
Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,2.0539343092298896
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.0961797847147985
ClCCl,1.2505580854477507
CN(C)C,2.108917821869135
C[As](C)(=O)O,2.872701063829686
CC(C)(O)C#N,4.467562181163722
FC(F)(Cl)C(F)(Cl)Cl,0.6706516545283735
CC1(C)NC(=O)NC1=O,1.1076542156164555
ClCC1(CCl)COC1,2.4540024362852733
CC(Cl)CCl,2.070757244487659
C=CC(N)=O,2.658616710796572
C=CC(=O)O,1.9386342455704209
C=C(C)C(=O)O,1.8380426948098016
CC(C)(CO)C(O)C(=O)NCCC(=O)O,1.944714503536866
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,3.710868758127925
O=C1C(=C(O)C(c2ccccc2)c2ccccc2)C(=O)c2ccccc21,3.054840227399799
CCOC(=O)c1ccccc1C(=O)OCC,1.4123237771499726
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,1.4233988060697524
CCCCOC(=O)c1ccccc1C(=O)OCCCC,1.5339637002504891
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,1.1721564733075578
CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,1.2893794385557804
O=C1OC(=O)C2CC=CCC12,1.663755162423205
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,4.357941798770943
Cc1cc(C)c(N)c(C)c1,2.560465872908742
CCC(C(=O)O)c1ccccc1,2.190077867036122
Cc1cc2nc3ccc(=[N+](C)C)cc-3sc2cc1N,3.984818138600921
O=C1CCN(c2ccccc2)N1,2.752147532416491
CCC(O)c1ccccc1,2.134157975239844
CCCCOC(=O)COc1ccc(Cl)cc1Cl,2.8629265852815515
C1=Cc2ccccc2C1,1.809795314390983
c1ccc2scnc2c1,2.639586086673426
Cc1ccccc1Cl,1.4589330002934493
Nc1ccccc1N,2.5076631517095738
Nc1ccccc1O,2.2086324230856893
S=C1NCCN1,1.1171947837228824
OCc1ccco1,2.462756734138668
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,1.663757571811928
CC(C)c1cccc(C(C)C)c1,1.7188926002476976
CC(C)c1ccc(C(C)C)cc1,1.308251402731241
ClCc1ccccc1,2.210291074089156
OCc1cccnc1,1.736906200252733
ON=C1CCCCC1,2.2024345900658777
c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,2.3582274713906206
N=C(Nc1ccccc1)Nc1ccccc1,2.913214015055652
Clc1ccc(CSc2ccc(Cl)cc2)cc1,1.952947347671675
CCCCCCCCCCCC[n+]1ccccc1,3.3196640705384226
ClCc1ccc(Cl)cc1,2.1439516558166907
O=C1CCCCCN1,2.085209990231018
Cc1ccc(Cl)cc1,1.5003256854516742
Cc1ccc(O)cc1,2.8298663825836807
Oc1ccc(Cl)cc1,2.3273437327577646
BrCCBr,3.109486085788677
OCCCl,2.9468300109548693
OCCO,0.8870718710919959
CC=NO,1.7106544258542866
CCCC(C)Br,1.4009608536289382
CC(C)OC(C)C,1.453050646526184
Cc1cccc(O)c1,2.255835114855962
Nc1cccc(N)c1,3.219089247824344
Nc1nc(N)nc(N)n1,2.1007942924592338
