curated_smiles,dog_oral_LDLo
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,4.996357321336825
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,2.225055405184305
CN(C)CCCN1c2ccccc2CCc2ccccc21,3.4478012412596364
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.105677739020485
O=CC(O)C(O)C(O)C(O)CO,1.352558743654815
CCN(CC)CCNC(=O)c1ccc(N)cc1,2.027286866589744
C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.310134422570701
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.7879490465685937
C[N+](C)(C)CCOC(N)=O,4.690780654501487
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,3.072380423755636
CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,2.869286577202512
ClC(Cl)(Cl)Cl,2.187021277118685
CC12C(=O)OC(=O)C1(C)C1CCC2O1,3.593733425744286
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,3.5642168498949287
Cc1cc(=O)n(-c2ccccc2)n1C,2.575718837901539
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,2.7550023431609745
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,2.754971803991015
CN(C)N=O,3.5686885651733022
NC(=O)NC(=O)Cc1ccccc1,1.7068177207319284
CCO,0.9230460958169252
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2.9566984842119512
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,6.504544801801847
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,2.524290943888823
CO,0.6306583526926415
CC(C)O,1.5921716987502528
CC(C)=O,0.8609366207000936
ClC(Cl)Cl,2.076924298661538
Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,3.744059796991998
O=C(O)c1ccccc1O,2.487050344511074
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,4.007435169735016
CCCO,1.3017243115303356
CCCCO,1.6244403205051243
CCCCCO,1.7990942809571029
c1ccccc1,1.5916988817198283
CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C,1.948750598720938
CBr,2.278474648612268
C#N,3.829721781101161
ClCCl,1.4519552097682025
C=C(Cl)Cl,1.226853090462824
IC(I)I,1.5951996098598824
C[N+](=O)[O-],2.688704511938768
ClC(Cl)C(Cl)(Cl)Cl,2.6070151443801897
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,3.2083410127887446
CCC(Br)(CC)C(=O)NC(N)=O,2.721713545088173
CC(Cl)CCl,1.354058473191209
CC(Cl)CO,2.6745901960429714
CCC(C)O,1.4897417466076683
ClCC(Cl)Cl,2.42620210284358
ClC(Cl)C(Cl)Cl,2.7478000908643683
CC1CCCC(C)(C)C1CCC(C)[N+](C)(C)CCCCCC[N+](C)(C)C(C)CCC1C(C)CCCC1(C)C,4.427325409884986
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,3.1188409773148265
Oc1cccc(O)c1O,3.7028129607793
O=C(O)C(O)C(O)C(=O)O,1.4773701788711802
c1ccc2ccccc2c1,2.505739946478049
Nc1ccc(-c2ccccc2)cc1,3.830529646813057
Nc1ccc(-c2ccc(N)cc2)cc1,2.964358643709526
Cc1ccc(Cl)cc1N,3.151066320394346
ClCC(Cl)CCl,2.867561761367188
CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,3.262431312664377
