curated_smiles,rat_intravenous_LD50
C=O,2.5379782276444964
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,5.047056691595658
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.978638958302057
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,3.4776637838119564
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.471394797915088
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,4.964373965212428
CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,4.305673745669693
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,4.158648539476593
S=c1nc[nH]c2nc[nH]c12,2.784423278697017
CN(C)CCCN1c2ccccc2CCc2ccccc21,4.335923514431015
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.123783825347706
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.472770094725318
CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O,5.646137334425587
O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,2.592269568843406
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,3.574199548359986
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,3.7268358369615817
NCCc1c[nH]c2ccc(O)cc12,3.768931477678132
O=C1NC(=O)C(=O)C(=O)N1,2.675381125741463
Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2,6.438124603388836
O=C1OC(C(O)CO)C(O)=C1O,1.6437585489514668
CCN(CC)CCOC(=O)c1ccc(N)cc1,3.771974845668281
CCN(CC)CCNC(=O)c1ccc(N)cc1,3.320535835253244
C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.264811443784044
O=c1[nH]cc(F)c(=O)[nH]1,2.7250377664896943
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.407737804856988
CC(C)NCC(O)c1ccc(O)c(O)c1,4.033376811172444
NCCc1cnc[nH]1,2.246561102945544
C1CN2CN3CCN(CN1C3)C2,2.903720290415557
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.5981381482415724
N=C(N)NC(=O)Nc1ccc([N+](=O)[O-])cc1,2.968467382164504
NCCc1ccc(O)c(O)c1,4.503963662993559
CN(CCCl)CCCl,5.151887785804022
CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C,2.293131727714743
C[N+](C)(C)CCOC(N)=O,6.167901909221149
S=P(N1CC1)(N1CC1)N1CC1,4.3038483651813975
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,4.002128608544473
O=[N+]([O-])C(Br)(CO)CO,3.728132335012825
NC1(C(=O)O)CCCC1,2.5796457568364457
CC(C)(S)C(N)C(=O)O,1.8727824875918584
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.398947560337772
NC(CS)C(=O)O,2.0264579977803514
CC12CCC(=O)CC1CCC1C2CCC2(C)C(C(=O)COC(=O)CCC(=O)O)CCC12,3.3572897435748748
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,4.248492120821148
CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,4.850803171508499
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.218243031114881
CN1CCC(n2[nH]c(-c3ccccc3)c(Cc3ccccc3)c2=O)CC1,3.336787332478234
COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,4.149083538431525
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.616408552805952
CCC1C(=O)OCC1Cc1cncn1C,3.3716646786997786
