curated_smiles,rat_oral_LDLo
c1ccc2[nH]cnc2c1,2.373423286069948
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,2.896289164699955
CS(=O)(=O)OCCCCOS(C)(=O)=O,4.215383732300892
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,2.608022987653282
O=CC(O)CO,1.2556487306467587
NC(CSSCC(N)C(=O)O)C(=O)O,0.9828246058037748
CC[Sn](CC)(CC)OS(=O)(=O)O[Sn](CC)(CC)CC,4.705741442887099
CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,2.203109979234091
CC(COc1ccccc1)N(CCCl)Cc1ccccc1,2.57954495481782
NCCc1ccccc1,2.1803517126730934
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.8443678117209987
CC(C)OP(=S)(Oc1ccc(S(C)=O)cc1)OC(C)C,4.1289353431149385
ClC(Cl)(Cl)Br,3.2972657681798663
CC(CO)(CO)[N+](=O)[O-],1.829686426747928
C#CC(=C)C,2.0147203116733885
NC(=S)C(N)=S,2.3809416894682864
CC1CCCC(C)(C)C1CCC(C)[N+](C)(C)CCCCCC[N+](C)(C)C(C)CCC1C(C)CCCC1(C)C,3.126295414221005
O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1.5830732677867063
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1,2.947989224189329
O=C1c2ccccc2C(=O)c2ccccc21,1.1424228400127971
CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O,2.305125563622698
CCN(CC)CCCC(C)Nc1c(C)cnc2cc(Cl)ccc12,2.620535536673111
CNc1ccccc1C(=O)OC,1.6890723109876844
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,2.648200170960445
CN(C)c1cccc2ccccc12,2.5346428232824136
c1ccc2c(c1)[nH]c1ccccc12,2.5242948398325398
Cc1cc(=O)oc2cc(N(C)C)ccc12,2.131920064032672
O=C(O)C(O)C(O)C(=O)O,1.3012789198154988
CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,2.4439041742213523
Oc1ccccc1[Hg]Cl,3.517391220535183
O=C(O)C(O)c1ccccc1,1.7051478475814303
O=C1Nc2ccccc2C1=O,1.4687400858665252
NC(=O)OCC(O)c1ccccc1,2.1441932695802626
Oc1ccccc1C=NCCN=Cc1ccccc1O,2.7296765666010203
CC(C)(C)NSc1nc2ccccc2s1,1.477451134865971
Cc1cc(O)ccc1O,2.7928782469462865
O=C(CO)CO,0.051528747990834
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,2.3602967147296487
Cc1cc(N=Nc2ccccc2C)ccc1N,2.176660294423564
O=[As](O)(O)c1ccccc1,3.606469505046003
NS(=O)(=O)c1ccc(Cl)cc1,2.5835138916446256
O=[N+]([O-])c1ccc([As](=O)(O)O)cc1,3.39276376265629
NC(=O)c1cnccn1,1.6131897147052598
COC(=O)c1ccc(O)c([N+](=O)[O-])c1,1.8968479611949736
CN(C)c1ccc(C=O)cc1,2.4747784425761625
CN(C)c1ccc(N(C)C)cc1,2.5165406620764728
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,3.526618376998659
N#Cc1ccccc1,2.156027253765864
c1ccc(N=C(Nc2ccccc2)Nc2ccccc2)cc1,3.0604953741732177
CN(C)c1ccc(Cc2ccc(N(C)C)cc2)cc1,2.706507836820202
