curated_smiles,mouse_intravenous_LD50
COC1C(O)C(CO)OC(OC2C(O)C(CO)OC(OC3C(C)OC(OC4C(OC5CCC6(C)C7=CC(O)C89C(=O)OC(C)(C%10CCC(C)(C)O%10)C8(O)CCC9(C)C7CCC6C5(C)C)OCC(OS(=O)(=O)O)C4O)C(O)C3O)C2O)C1O,5.1246932908810745
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,4.922117954987358
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,3.2027426268291217
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.870551118162179
CCC(O)(COC(N)=O)c1ccccc1,2.6922661590840256
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,3.301572524756275
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.5004293148648244
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,4.760253982556503
CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,3.847035896644043
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,4.111452361083187
S=c1nc[nH]c2nc[nH]c12,3.279273300377111
CN(C)CCCN1c2ccccc2CCc2ccccc21,4.071009711813183
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.251042758532568
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.46217544519035
CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O,5.239690741855781
O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,2.2771964957959563
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,3.9051927674014095
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.1705333361942944
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,4.63964981702775
NCCc1c[nH]c2ccc(O)cc12,3.147909357993356
OCC(O)C(O)C(O)C(O)CO,1.3354171567377129
