curated_smiles,mouse_oral_LD50
C=O,2.854248189865215
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,4.162450110297727
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,2.477179553746142
CCC1(CC)C(=O)NC(=O)N(C)C1=O,2.5981818493872657
CCC1(c2ccccc2)NC(=O)N(C)C1=O,2.695513515094508
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.1175658457311317
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,4.223668966654684
CCC(O)(COC(N)=O)c1ccccc1,2.401576996758263
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,2.3315357481337187
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,3.419271445072163
O=C(O)c1c(Cl)ccc(Cl)c1Cl,2.5641905343538154
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.8928367683413505
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,2.9180739455594598
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,2.688432724978608
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,2.7547928457606523
S=c1nc[nH]c2nc[nH]c12,2.5400777177191576
CN(C)CCCN1c2ccccc2CCc2ccccc21,3.0910559697126647
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.373283979197516
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.08542473558825
CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O,3.292155616423443
O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,1.3185891809541816
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,2.4492608117516865
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,2.848013827244322
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,2.51471108041945
NCCc1c[nH]c2ccc(O)cc12,3.4679014820141507
OCC(O)C(O)C(O)C(O)CO,0.9640602847488948
Cc1ccc(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c2c1OC1C(C)C(=O)C(N)C(C(=O)NC3C(=O)NC(C(C)C)C(=O)N4CCCC4C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC3C)C1N2,4.986939082763573
CC(=O)Oc1ccccc1C(=O)O,2.8577159538881616
O=C1OC(C(O)CO)C(O)=C1O,1.5879637652286789
O=C(O)c1ccc(Cl)cc1Cl,2.36198483317604
Cc1ccc(C(=O)O)c(O)c1,1.9269965971977867
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,3.2239601297746443
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,2.1145134712750195
CCN(CC)CCOC(=O)c1ccc(N)cc1,2.979938242657352
CCN(CC)CCNC(=O)c1ccc(N)cc1,2.488937999178547
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,2.7038682078814515
c1ccc2[nH]cnc2c1,1.6085003014200598
C1CN1c1nc(N2CC2)nc(N2CC2)n1,4.13404316351502
O=c1[nH]cc(F)c(=O)[nH]1,3.053506010500615
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,3.6118577875129128
CC(C)NCC(O)c1ccc(Cl)c(Cl)c1,3.177235585674343
CC(C)NCC(O)c1ccc(O)c(O)c1,2.448027801737063
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,3.586399744970328
NCCc1ccc(O)c(O)c1,1.5456188136957203
COc1ccc(NC(C)=O)cc1,2.142442049872808
NNCCc1ccccc1,2.9919615473586445
CN(CCCl)CCCl,3.992593807186259
CC(C)=CCCC(C)=CCCC(C)=CCCC(=O)OCC=C(C)CCC=C(C)C,1.6996719081486982
