curated_smiles,rabbit_skin_LDLo
CCO,0.3623787896471879
CC(Cl)(Cl)Cl,0.9265150202251764
CI,2.252281238750316
C[N+](C)(C)C,2.8700935840926163
C[Pb](C)(C)C,1.8967361539377077
CC1(C)C(=O)N(Br)C(=O)N1Br,1.155219096284838
CC[Pb](CC)(CC)CC,2.590726377703465
O=C(Cl)CCl,2.553172236696587
CC(C)(OO)c1ccccc1,2.1032134318055564
O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,1.6664170848191404
Cc1cc(C)c(N)c(C)c1,2.788586131968433
CCN(CC)C(=O)Cl,1.0236754488030562
Cc1cccc2ccccc12,1.277841387101589
c1ccc(Nc2cccc3ccccc23)cc1,1.437922899151551
c1ccc2n[nH]nc2c1,2.422797691217712
c1ccc2scnc2c1,2.8299177848437176
Nc1ccccc1N,1.8579111700437363
Oc1ccccc1Cl,1.910442020455811
Nc1ccc(Cl)c(Cl)c1,2.732444692608796
O=C(O)c1cc(S(=O)(=O)O)ccc1O,1.439006378024084
O=Cc1ccco1,2.1902639049789205
OB(O)c1ccccc1,1.4329051836365736
O=[N+]([O-])c1ccccc1,2.312145608606736
CN(N=O)c1ccc(N=O)cc1,2.041792578334176
O=[N+]([O-])c1ccc(O)cc1,1.9672670915597856
N#Cc1cccnc1,1.4154407980618178
CNC1CCCCC1,1.752831777011912
c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,1.7927963754248195
O=C=Nc1ccc(Cl)cc1,1.4081494778686836
CCOC(=O)CC,0.8551684021356022
COC(C)(C)CC(C)=O,1.6374463646112718
Nc1cccc(N)c1,1.8579111700437363
OC1CCCCC1,2.1008781494248203
Cc1cccnc1,2.6680549439513763
CCCCCl,0.6654355765148258
COCCOC,1.6538008254185022
CCCCN=C=O,1.2180669987759307
C1CCCNCC1,1.8960404220846447
N#CCCCCC#N,5.034002429099417
CCCCCCCCN,1.8103904756488736
O=P(OCCCl)(OCCCl)OCCCl,2.154562426158005
Oc1ccc(Cl)cc1Cc1ccccc1,1.639977297256558
Oc1ccc(Cl)cc1Cl,1.712508514861972
CCCCCCCCCCCCCCCC[n+]1ccccc1,2.182617199861232
CCCCCCCCC=O,1.4540578457500275
CC1(C)C(=O)N(Br)C(=O)N1Cl,2.081836783520901
CCOP(=O)(OCC)SCCSCC,4.713230056306943
CN(C)C(=S)SSC(=S)N(C)C,2.3810139442320213
N#CCc1ccc(Cl)cc1,2.879657746523571
CC(=O)C=CC=C(C)CCC=C(C)C,1.585013796722258
O=C(O)CC(=O)O,1.0172879950406557
NCCCCCCNCCCCCCN,3.032185458896569
CCCCCCCCCCCCOS(=O)(=O)O,1.4255391111743507
CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C,4.155720051218001
CCOP(=S)(OCC)OCCSCC,3.4122000606429626
CCOP(=S)(OCC)SCCSCC,4.739434677387216
CC(C)NNC(=O)c1ccncc1,1.9523637470065336
COS(=O)(=O)F,2.3992628288253077
FC(Cl)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,3.083792053017856
NCCCCCCF,5.6782743043436295
Cc1ccc(C(C)C)cc1O,1.745366884531909
Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,2.212662936608615
CN(N=O)c1ccccc1,2.5599991370552013
O=[N+]([O-])c1ccc(O)c(Cl)c1,1.9384071342485485
CC(=O)C=Cc1ccco1,3.435047641339964
ClCc1ccc(CCl)cc1,2.5433442365715173
Nc1ccc(N)cc1,1.3350324247633991
N#CCNCC#N,1.8021120908504769
CCSCCSP(=S)(OC)OC,3.3915684325696884
CCCC[Sn](Cl)(Cl)CCCC,2.349118903005247
N#CC1CCCCC1,2.7370812708662235
CCSCCOP(=S)(OC)OC,3.487215702246377
C=CC(=O)NCO,0.8006526508649984
Nc1ccncc1,2.4591203228325376
CC1CC(C)S(=O)(=O)C1,1.6146248181458445
CCCCC(CC)COP(=O)(O)O,2.0216233765492566
CC(=O)OCC1=CCC2CC1C2(C)C,1.5894446778279117
CCCCCCCCCCCC[N+](C)(C)C,2.455689768960249
O=[N+]([O-])c1cc[n+]([O-])cc1,2.590129434695763
CCCC[Sn](Cl)(CCCC)CCCC,3.667468963451306
CCCC[SnH2+](CCCC)CCCC,2.494682774493023
CCCC[Sn](CCCC)(CCCC)CCCC,2.23951844851053
N#CCCOCCC#N,1.470672945799722
O=C(O)CC(C(=O)O)C(CC(=O)O)C(=O)O,1.4664227224337916
CC1(C)C2CCC1(C)C(Oc1ccc(N)cc1)C2,1.6899766571554038
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,1.9389204237165705
Cc1cc(C)c(O)c(C(C)(C)C)c1,4.020641523741606
CCCCCCCCOC(=O)COc1ccc(Cl)cc1Cl,2.221746678419273
CN(C)c1ccc(N)cc1,3.356019479841132
C[Sn](C)(C)C#N,4.178003453753378
CCN(CC)c1ccc(N)cc1,3.1186006534044357
C=CC(=O)NC(C)C,1.8550358518305303
CC(=O)OCc1ccc(C)cc1,1.5164137279648735
C(OCC1CO1)C1CO1,1.9383295546256103
O=c1[nH]c(=O)n(Cl)c(=O)n1Cl,1.7969013316305695
COP(=S)(Cl)OC,2.705955686574242
CCOP(=S)(Cl)OCC,2.974548534820986
CCOP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,3.442852757178025
N#CC(Cl)CCl,2.1934960987772354
Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5c(S(=O)(=O)O)cc6cc(S(=O)(=O)O)cc(N)c6c5O)cc4)cc3)c(O)c12,2.6257444722246497
C=Cc1ccc(OC(C)=O)cc1,2.9089887227279614
CC(C)(N=C=O)c1cccc(C(C)(C)N=C=O)c1,2.0868828049202177
CC(C)(O)CN,1.6578068141856035
O=C=Nc1cccc(Cl)c1,1.286480225825231
C=CCOC(=O)CCCCC(=O)OCC=C,2.354630815563892
CC(C)CCC(C)Nc1ccc(Nc2ccccc2)cc1,1.551091861305526
ClC(Cl)(Cl)CC1CO1,1.943103573894752
O=S1(=O)CC(Cl)(Cl)C(Cl)(Cl)C1,3.110510587430669
N#[N+][N-]P(=O)(c1ccccc1)c1ccccc1,2.005763043258945
CC(=O)c1c(O)cc(C)oc1=O,1.526721701723619
O=C1CCCCCCCC(=O)OCCO1,1.4311226250954152
CCCCCCCCCC=CC=O,1.5618333401445652
O=C(O)CS,2.4872279601040206
C=CCOC(=O)COCC(=O)OCC=C,2.330853932944162
C=C(Cl)CO,3.568319085095111
N#CC(C#N)=C1SCS1,3.087767337591092
O=C(OCCCl)c1ccccc1C(=O)OCCCl,2.3637164152616275
N#CSCSC#N,2.5147179052579003
CCC=CCC=O,1.292898175018025
CC1(C)CC(=O)CC(C)(C#N)C1,1.0139846904620218
CC(C)(C)N,1.5631190224456344
CCN1CN(CC)CN(CC)C1,1.932696942804553
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,2.2563352252826805
Clc1cc(Cl)c(-c2c(Cl)c(Cl)c(-c3c(Cl)cc(Cl)c(Cl)c3Cl)c(Cl)c2Cl)cc1Cl,2.2850763764965176
Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,2.361909330711761
CCCCCCC1CCCC1=O,1.5270624990089396
CCOP(=O)(OCC)SCc1ccccc1,2.6550433424145474
Cc1nccn1Cc1ccccc1,2.9350813275119965
Cc1ccc(SN2C(=O)c3ccccc3C2=O)cc1,2.2316195815633506
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,3.457185256553668
CCNC(=O)C(C)OC(=O)Nc1ccccc1,2.6744404150835988
CNC(C)C#N,3.2250718636182496
CC=CC=CC=CC(C)=O,1.4351879709038249
CSCCC(O)C#N,3.0175632899220783
CC(C)(C)c1ccc(CCC=O)cc1,1.5804368325773337
