curated_smiles,rat_subcutaneous_LDLo
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,3.208981738236981
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,2.79242711123758
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,4.088979042232575
NCCc1cnc[nH]1,2.647961643727088
CCOC(N)=O,1.6945759525291733
CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,3.0268944305641807
NCCSSCCN,2.944105055758832
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.011217280439091
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,5.439888235296361
CC[Sn](CC)(CC)OS(=O)(=O)O[Sn](CC)(CC)CC,4.307801434215063
CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,2.9864582127373063
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,3.043068344342804
CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,2.813463559746353
Cc1cc(=O)n(-c2ccccc2)n1C,2.078789189828324
CNCC(=O)c1ccc(O)c(O)c1,3.355046634895156
CNCCc1ccc(O)c(O)c1,3.01913706959025
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.400395983444664
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,4.999394823481941
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.04716968916916
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,1.3984313519776796
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1.8443678117209987
Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,3.463840253579132
CCC(C)(C)O,1.7990942809571029
CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.255759168565059
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,3.7206408963539297
CC(C)(C#N)N=NC(C)(C)C#N,3.738283635843044
CC(N)CN,1.91141254088723
