curated_smiles,rat_intravenous_LDLo
NCCc1cnc[nH]1,2.091659142959801
O=C(O)c1cccnc1,1.5462288146401044
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.636051711253525
CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,3.521571414434656
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,3.8249844579210457
CN(C)N=O,3.267658569509321
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,5.746139693505179
COc1ccc2[nH]cc(CCN)c2c1,4.50116428393576
CN1C(=O)C23CC4=CC=CC(O)C4N2C(=O)C1(CO)SS3,3.860536305745367
Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,3.463840253579132
CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C,3.412507891882619
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,3.4041847007386297
CCOP(=O)(OCC)OCC,2.260443480952491
c1ccc2scnc2c1,2.8299177848437176
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,2.9623567060576117
CC1(C)OCC(CO)O1,4.548225141636866
CC(=O)OC(C)C,2.768616840545802
O=C1CCCCC1,2.2375198436430246
O=C(O)CCSCCC(=O)O,3.074838374156045
C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,3.518242905110179
C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,4.817501906368654
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,4.091309293983895
CC(=O)CC(C)(C)O,1.5844748165268494
CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1,3.558437051623476
CCOP(=S)(OCC)OCC,2.8992162269290502
CCCCOP(=O)(OCCCC)OCCCC,3.425400520687867
CCCCCCC1(CC)C(=O)NC(=O)NC1=O,3.0585398979397804
C=C1CC1CC(N)C(=O)O,3.6726211599937417
CC(N)Cc1ccccc1,3.8299788171266576
CNCC(O)c1ccc(O)c(O)c1,6.563972058900261
NC1CONC1=O,2.3100259613983765
CNC(C)Cc1ccc(O)cc1,3.218104673117946
CC12CCC(O)CC1CCC1C2CCC2(C)C(c3ccc(=O)oc3)C(O)CC12O,5.136452001771257
O=c1cc(CO)occ1O,2.1526246394476187
CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)CCC(OC3OC(CO)C(O)C(O)C3O)C=C12,5.695966134861237
CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(O)C5C(O)(C(O)C6OC)C(C(OC)C23)C14,3.125751696785139
COP(=O)(OC)OC,1.7661493894279998
CC1CCCCN1CCCOC(=O)c1ccccc1,4.174209381059472
CN1C2CCC1CC(OC(=O)c1ccccc1)C2,4.213645237581913
CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,2.070675902989461
CC(C)=CCNC(=N)N,3.696216416530252
O=S(=O)(O)c1cc(I)c(O)c2ncccc12,2.8464868003824866
NC(=O)CNc1ccc([As](=O)(O)O)cc1,2.136891715195306
Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,3.610602945280653
COc1ccccc1C(=O)O,1.74293640847083
O=C(O)O,3.4915297752974697
Nc1ccc(N)cc1,3.335032424763399
CC(C)NC(=N)N=C(N)Nc1ccc(Cl)cc1,3.802323809453832
CCCC[Sn](Cl)(Cl)CCCC,4.482657811375464
CCN(CC)C(C)=O,2.061361991644027
O=Nc1ccc(NNC(=O)c2ccncc2)c(=O)cc1,3.732792484257218
O=Nc1ccc(NNC(=O)c2cc[n+](O)cc2)c(=O)cc1,3.75929759247952
CN(C)C1C(=O)C(C(=O)NCNCC(=O)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,3.771275467168448
C[Sn](C)(Cl)Cl,3.7397443669338872
O=C1NC(=O)C2C3C(C(O)(c4ccccc4)c4ccccn4)=CC(C3=C(c3ccccc3)c3ccccn3)C12,6.3109743978375
CSC(=N)N,2.778879289441156
CC(N)Cc1cccc(O)c1,3.334479601243608
C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,3.744793502641482
COC(C)(C)C,2.774960601240383
Nc1c2c(nc3ccccc13)CCCC2,3.996224820501048
C=NN(C)C,2.858001518185672
Nc1cc([As](=O)(O)O)ccc1O,2.4643684378012938
Clc1cc(N2CC2)nc(N2CC2)n1,4.117582815057576
C=C(C)C1C2CC3(C)C4(CO4)C4OC4C3(O)C1C(=O)O2,5.599421408380309
c1cc[n+]2c(c1)-c1cccc[n+]1CC2,4.1192606036952695
NC(CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,3.907270395245761
CCCCCC[Sn](CCCCCC)(CCCCCC)CC(=O)O,4.858602356904123
Cc1cc(-c2ccccc2)n[nH]1,3.023126200864296
Cn1c(=O)c2[nH]cnc2n(C)c1=O,2.8754640053623715
CCCCCCCC[Sn](Cl)(Cl)CCCCCCCC,4.619161183838646
C[S+](C)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,3.991330809412772
C[S+](C)CCOC(=O)C(c1ccccc1)C1CCCCC1,4.601324734790807
CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)CC(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,5.975691878104972
