curated_smiles,mammal (species unspecified)_oral_LD50
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.6439895723953044
CN(C)CCCN1c2ccccc2CCc2ccccc21,2.9037331969093607
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,2.804647743356504
CC(=O)Oc1ccccc1C(=O)O,2.012617913873905
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.6719488324015095
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.650541852618081
Cc1ncc(COP(=O)(O)O)c(C=O)c1O,1.915827059432076
O=C(O)c1cccnc1,1.4419642638596146
COP(=S)(OC)Oc1ccc(SC)c(C)c1,3.423378522251975
ClC(Cl)(Cl)Cl,1.4088700267350414
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,3.774092220527385
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.0039307631357266
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,1.7610719313418084
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,3.6076979411455783
O=C(O)CF,5.850935705469866
CNC(=O)Oc1cccc2ccccc12,2.5961117599657024
CCCCCC=O,1.4324969277849215
CS(C)=O,0.5624374013615309
CCC(=O)c1ccc(N)cc1,4.425560419905981
c1ccccc1,1.136854021711318
CC#N,1.3906284280871606
NC=O,1.155297470364097
CC1CO1,2.1205739312058496
O=CC(Cl)(Cl)Cl,2.3172037769618083
COC(F)(F)C(Cl)Cl,1.661091943240919
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,2.964223083792353
CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,1.7573180981503709
C=CC(N)=O,2.8517413091510337
CCC(=O)O,1.6548512630801056
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1.5455754338338787
O=S1(=O)N2CN3CN1CN(C2)S3(=O)=O,6.380692318215038
CCCCOC(=O)c1ccccc1C(=O)OCCCC,1.7456181008036715
O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,2.491193547294686
Cc1cc(C)c(N)c(C)c1,2.560465872908742
Oc1c(Cl)cc(Cl)cc1Cl,2.638396886160696
O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,2.617224773504789
N#CCCN(CCO)c1ccccc1,2.0240430292160982
CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,2.6176631388235343
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,2.708393702759793
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2.4254642355905998
C1=Cc2ccccc2C1,1.3660978151582706
Cc1ccccc1N,1.7995675721884443
Oc1ccccc1Br,2.425155339252821
Oc1ccccc1Cl,2.4656464309240462
OCC(O)CCl,3.1297056078620398
COC(=O)CCl,2.6553145509886478
Cc1cc(Sc2cc(C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,1.752456835184155
OCc1ccco1,2.435370933649036
ClC(Cl)(Cl)c1ccccc1,2.177150091228644
CC(C)(C)c1ccc(O)cc1,2.000639389635215
CC(=O)c1ccccc1,1.6483636255683187
ClC(Cl)c1ccccc1,2.0607814542229628
O=[N+]([O-])c1ccccc1,2.3913268546543613
COC(=O)c1ccc(C)cc1,1.5968198278093413
O=[N+]([O-])c1ccc(O)cc1,2.7506613973558007
C=Cc1ccccc1,1.8415763549364284
C=Cc1ccncc1,2.687314221531475
ClCc1ccccc1,1.9262944177239552
NCc1ccccc1,2.184918453552461
N#Cc1ccccc1,2.110269763205189
O=Cc1ccccc1,1.7204622414941664
C=Cc1ccccn1,2.4037198759703133
CCN1CCOCC1,1.9821807455964024
CCCCN(CCCC)CCCC,2.31959133995316
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,1.3927836862762544
Cc1ccc(CCl)cc1,2.106632788920116
Clc1ccc(Cl)cc1,1.7523558041535006
Oc1ccc(Cl)cc1,2.4101291030742145
C=CCN,2.8628439216909287
C=CCO,2.91892856767778
C#CCO,3.0497140758159484
CCCC(C)=O,1.366972891935779
CC(C)OC(C)C,1.2312018969098275
Brc1ccccc1,1.7645635494382372
Cc1ccccc1,1.3623929299827204
Clc1ccccc1,1.6896523900543423
O=C1CCCCC1,1.5147469246343814
CN1CCOCC1,1.7223394806387586
CCNCCO,1.8708816394944547
c1ccncc1,1.7220962052003148
C1COCCN1,1.85376800598796
